#wnum,raman
275,1145.46
276,1146.54
277,1090.29
278,1029.72
279,925.579
280,822.157
281,775.126
282,759.73
283,733.442
284,665.161
285,597.521
286,536.867
287,478.769
288,437.538
289,431.598
290,425.854
291,406.818
292,386.028
293,372.775
294,362.063
295,357.424
296,314.597
297,270.228
298,241.435
299,230.119
300,220.262
301,201.439
302,181.319
303,167.755
304,159.618
305,156.492
306,155.179
307,153.938
308,129.752
309,99.6463
310,97.4307
311,98.4546
312,100.733
313,101.748
314,89.2278
315,79.855
316,74.9641
317,70.0419
318,60.6734
319,51.5883
320,47.0949
321,44.7082
322,45.6765
323,48.9357
324,49.8917
325,48.7783
326,39.9478
327,40.8839
328,44.7317
329,53.0988
330,60.2678
331,64.4865
332,65.3859
333,54.5573
334,43.8541
335,36.5746
336,29.2033
337,26.7577
338,26.0628
339,22.9995
340,15.7835
341,14.5523
342,15.3649
343,18.9897
344,19.7828
345,-7.06427
346,-6.29151
347,-4.66853
348,24.8598
349,25.6014
350,21.205
351,10.2871
352,2.56775
353,-2.90999
354,-2.22047
355,3.49373
356,4.16249
357,-2.15744
358,-1.50925
359,0.821426
360,12.5341
361,13.8049
362,14.4128
363,15.0109
364,23.3477
365,30.5966
366,31.1656
367,22.0264
368,22.5764
369,34.5249
370,35.0562
371,34.6947
372,15.3968
373,3.243
374,-0.830506
375,-0.344382
376,23.842
377,49.6003
378,50.0603
379,35.0191
380,35.4622
381,43.0412
382,45.2138
383,45.6321
384,28.1321
385,17.7944
386,16.4746
387,15.461
388,15.3128
389,15.684
390,18.8387
391,24.5604
392,30.6131
393,36.4136
394,38.0765
395,38.4038
396,32.585
397,27.3527
398,23.4874
399,19.5205
400,10.6171
401,8.27169
402,8.55165
403,23.0289
404,23.2961
405,14.4759
406,12.5154
407,12.7641
408,28.3376
409,40.9675
410,50.932
411,55.4869
412,55.7064
413,52.2654
414,47.976
415,43.2067
416,43.4043
417,49.961
418,50.1481
419,41.742
420,25.5922
421,25.7642
422,33.2581
423,43.3723
424,58.2145
425,66.0799
426,66.2284
427,54.4717
428,46.5767
429,43.5457
430,43.6767
431,53.2624
432,65.1974
433,70.4035
434,71.5861
435,71.6967
436,61.6697
437,56.6294
438,56.7288
439,63.126
440,70.6125
441,78.6981
442,80.0466
443,80.1285
444,76.3893
445,76.4646
446,77.2266
447,77.2957
448,70.2902
449,63.4559
450,59.0445
451,54.5227
452,49.814
453,45.3169
454,45.3659
455,47.664
456,51.5824
457,62.1178
458,72.93
459,80.9849
460,87.025
461,87.0568
462,74.9537
463,67.9413
464,67.9664
465,78.7506
466,84.8052
467,85.5215
468,85.5385
469,83.9746
470,82.1135
471,73.7713
472,63.5655
473,57.5006
474,57.3518
475,57.3566
476,62.2103
477,63.6063
478,63.6064
479,55.9982
480,49.8784
481,46.5904
482,46.5849
483,52.0409
484,61.5528
485,66.2549
486,66.2445
487,66.1242
488,58.5134
489,54.4853
490,54.4705
491,54.4546
492,50.621
493,30.7738
494,25.5796
495,25.56
496,34.4252
497,36.2138
498,36.9412
499,39.8111
500,44.4473
501,44.4231
502,40.5038
503,37.1579
504,37.1318
505,42.283
506,42.2557
507,41.8414
508,41.8131
509,43.8192
510,47.4354
511,57.5448
512,66.3009
513,66.2705
514,45.1498
515,40.118
516,40.0866
517,53.006
518,65.5687
519,75.4221
520,75.3897
521,51.3946
522,51.3618
523,52.2534
524,69.3605
525,69.3273
526,56.6587
527,44.4165
528,31.7549
529,31.7214
530,32.7736
531,45.1463
532,50.0485
533,51.7069
534,58.5129
535,72.641
536,72.6076
537,60.4986
538,42.7575
539,42.7243
540,57.4488
541,57.4158
542,53.4727
543,52.9808
544,52.9481
545,52.9156
546,50.4925
547,36.4345
548,36.4024
549,59.013
550,78.0374
551,78.0057
552,76.0294
553,70.966
554,66.3978
555,66.3668
556,72.0723
557,72.0417
558,65.3352
559,57.9457
560,57.9156
561,64.6321
562,76.3891
563,93.2726
564,93.2433
565,82.1174
566,61.6112
567,61.5823
568,67.4639
569,76.8376
570,87.9424
571,89.2034
572,89.175
573,82.4057
574,79.8501
575,79.8219
576,91.37
577,109.79
578,115.011
579,114.983
580,114.955
581,121.548
582,127.498
583,127.469
584,111.046
585,111.017
586,138.899
587,159.085
588,159.056
589,149.749
590,135.97
591,119.618
592,113.214
593,113.183
594,117.398
595,126.557
596,126.525
597,125.167
598,108.474
599,95.5364
600,86.9966
601,86.9617
602,89.21
603,89.1736
604,82.5014
605,66.6344
606,66.5954
607,71.0985
608,71.0574
609,65.609
610,65.5657
611,66.693
612,75.0863
613,75.0394
614,69.2778
615,64.3174
616,59.8885
617,59.8359
618,75.4685
619,93.1501
620,93.0926
621,87.2716
622,84.9417
623,84.4297
624,82.3489
625,74.0526
626,66.1765
627,60.3821
628,54.5781
629,49.9045
630,45.0654
631,39.0637
632,31.0956
633,22.8715
634,9.45143
635,3.69619
636,3.60326
637,17.6188
638,29.4162
639,38.4169
640,47.5208
641,57.1228
642,57.0122
643,53.7201
644,37.8294
645,16.4389
646,-7.2389
647,-7.36618
648,43.9148
649,57.9253
650,57.7878
651,24.3975
652,4.67962
653,3.97687
654,3.82682
