#wnum,raman
275,479.727
276,479.803
277,462.009
278,441.143
279,422.024
280,400.599
281,377.983
282,355.902
283,331.524
284,305.658
285,278.305
286,248.377
287,216.144
288,183.894
289,161.916
290,139.956
291,119.504
292,100.671
293,78.365
294,61.7407
295,46.891
296,43.6243
297,43.0347
298,41.7309
299,31.658
300,22.1641
301,15.5561
302,9.55438
303,7.93798
304,7.99953
305,8.0598
306,4.15479
307,-0.875925
308,-0.819836
309,3.62379
310,3.67682
311,2.33013
312,-2.28702
313,-2.23888
314,-2.07468
315,-0.81784
316,1.61904
317,3.92598
318,6.225
319,8.39465
320,10.8147
321,13.6612
322,16.4306
323,17.8047
324,18.8947
325,18.9242
326,18.1904
327,18.2172
328,26.4838
329,31.5993
330,31.6223
331,24.5122
332,24.5328
333,25.767
334,30.4713
335,32.8272
336,34.627
337,35.2022
338,35.2164
339,35.0646
340,34.3185
341,34.3298
342,34.7862
343,37.3793
344,39.5335
345,40.5483
346,40.7663
347,40.7726
348,39.1709
349,39.1758
350,40.9429
351,40.9463
352,36.7111
353,29.879
354,29.8806
355,32.8256
356,32.8259
357,32.7221
358,32.7214
359,33.8887
360,40.5739
361,40.5717
362,36.2294
363,30.7059
364,30.7024
365,31.0938
366,31.0895
367,27.2545
368,25.2599
369,25.2546
370,26.48
371,29.7399
372,33.9105
373,37.469
374,39.4447
375,41.3097
376,43.2799
377,44.1079
378,44.1003
379,39.9396
380,39.9316
381,41.0964
382,43.0369
383,43.0284
384,38.4741
385,34.7077
386,32.4894
387,30.2542
388,29.4901
389,29.0063
390,27.7549
391,25.7827
392,23.7029
393,21.111
394,18.6163
395,17.8351
396,17.591
397,15.16
398,8.95797
399,8.94865
400,9.24572
401,16.068
402,16.0588
403,11.9748
404,11.9657
405,12.485
406,15.9613
407,16.9857
408,17.4442
409,18.3446
410,19.8566
411,19.8479
412,18.549
413,15.7526
414,14.0121
415,12.8078
416,11.4359
417,9.68819
418,9.68008
419,11.2177
420,14.7142
421,14.7064
422,10.4504
423,7.83045
424,7.82308
425,8.74861
426,13.646
427,19.9143
428,19.9074
429,13.4648
430,13.4583
431,13.9324
432,21.9219
433,22.5763
434,22.5704
435,20.3337
436,15.8423
437,14.0908
438,14.0855
439,17.6898
440,18.7619
441,18.7572
442,17.8516
443,13.8407
444,9.88247
445,7.30361
446,5.149
447,5.14529
448,6.58412
449,8.74164
450,13.3094
451,16.808
452,16.8051
453,12.6316
454,11.5076
455,11.5052
456,12.9613
457,16.2481
458,19.588
459,21.0145
460,21.0256
461,21.0431
462,22.1671
463,22.166
464,16.5295
465,8.34586
466,6.30802
467,6.30752
468,7.76134
469,8.42043
470,9.16386
471,10.0528
472,11.0289
473,11.2982
474,11.2986
475,11.0187
476,9.2968
477,7.5784
478,6.42477
479,5.65172
480,5.65277
481,7.63369
482,7.63492
483,5.41426
484,3.3554
485,3.35686
486,9.156
487,9.15761
488,4.68617
489,1.11338
490,1.11515
491,4.95928
492,7.12067
493,8.08553
494,9.02426
495,10.0941
496,10.3675
497,10.3695
498,9.33192
499,7.5184
500,5.07224
501,3.06768
502,2.86067
503,2.86267
504,7.3895
505,12.8784
506,12.8803
507,10.1324
508,6.78027
509,4.53106
510,2.29083
511,1.15044
512,1.15203
513,3.41016
514,10.6757
515,11.9463
516,11.9475
517,7.99077
518,7.99181
519,9.33902
520,12.1401
521,16.4348
522,18.487
523,18.4874
524,17.1042
525,11.8659
