#wnum,raman
275,1416.6
276,1418.71
277,1351.56
278,1284.41
279,1197.17
280,1101.59
281,1017.72
282,966.746
283,915.771
284,867.382
285,819.563
286,761.547
287,686.777
288,612.014
289,588.763
290,568.921
291,537.125
292,493.309
293,451.423
294,430.041
295,409.181
296,379.726
297,343.879
298,311.112
299,294.619
300,280.352
301,264.541
302,246.379
303,226.921
304,205.56
305,184.369
306,177.554
307,173.613
308,167.15
309,157.783
310,148.094
311,117.231
312,85.7678
313,76.9386
314,78.9648
315,82.5035
316,88.0804
317,90.0878
318,75.5276
319,48.2113
320,43.2757
321,45.2549
322,56.2768
323,59.3715
324,61.3273
325,59.1517
326,49.8958
327,44.4681
328,46.3895
329,51.6325
330,56.4628
331,60.9643
332,62.8477
333,57.0646
334,50.7495
335,47.5024
336,45.3648
337,43.8534
338,43.0693
339,41.7226
340,42.9449
341,44.6912
342,37.4966
343,22.0096
344,23.7568
345,46.2454
346,61.1739
347,62.8819
348,25.6427
349,5.67071
350,7.33733
351,13.6596
352,41.4859
353,72.1811
354,73.7893
355,55.2889
356,33.3193
357,29.7865
358,26.0083
359,15.4921
360,1.27118
361,2.31697
362,3.79673
363,5.25936
364,2.2912
365,-15.6653
366,-14.2555
367,1.50765
368,20.5681
369,28.9274
370,37.0099
371,38.3306
372,33.5101
373,29.5855
374,30.8536
375,32.3713
376,44.7382
377,59.0385
378,60.237
379,42.5781
380,29.7099
381,30.8569
382,33.0745
383,34.1874
384,27.5937
385,28.6648
386,29.727
387,35.3345
388,36.3631
389,36.1427
390,37.1379
391,40.662
392,41.6241
393,34.1124
394,25.0742
395,20.4356
396,17.9695
397,13.971
398,6.40861
399,-0.968347
400,-3.70218
401,-2.88678
402,-0.462336
403,12.8471
404,15.1419
405,15.8941
406,8.57177
407,9.2931
408,15.5284
409,25.2968
410,42.6479
411,43.3091
412,40.5402
413,18.5586
414,19.176
415,22.7946
416,30.7351
417,32.379
418,33.9791
419,39.0153
420,45.1045
421,49.2811
422,50.3449
423,50.8378
424,50.8656
425,50.7038
426,41.4941
427,27.1329
428,27.5609
429,31.6922
430,43.613
431,54.0558
432,64.1948
433,73.3264
434,81.5847
435,81.927
436,67.9085
437,54.8509
438,55.1582
439,68.314
440,71.4824
441,71.7558
442,72.0182
443,74.2121
444,77.1432
445,77.373
446,70.7884
447,70.9971
448,77.5691
449,86.1983
450,91.2661
451,91.4337
452,88.4001
453,69.9459
454,54.2207
455,52.7848
456,52.9035
457,61.5994
458,74.0163
459,74.107
460,72.636
461,67.0264
462,60.4701
463,53.7986
464,53.8444
465,53.812
466,53.8405
467,46.3173
468,45.8878
469,45.8911
470,53.2106
471,55.094
472,55.0731
473,54.3867
474,53.6202
475,52.8638
476,43.7601
477,34.1691
478,30.5715
479,30.4971
480,32.3634
481,40.0084
482,39.9123
483,36.6128
484,27.7283
485,27.6115
486,48.4299
487,49.1831
488,49.0462
489,35.356
490,27.6236
491,24.5689
492,24.4066
493,38.3965
494,50.6572
495,52.312
496,53.9934
497,61.615
498,67.161
499,66.9573
500,46.4948
501,27.4489
502,23.4514
503,20.2206
504,19.99
505,21.9995
506,35.9925
507,67.0053
508,90.9915
509,90.7358
510,85.4074
511,74.6111
512,66.653
513,66.3786
514,96.7886
515,102.019
516,101.731
517,79.4541
518,79.158
519,88.209
520,87.9048
521,74.9085
522,61.4203
523,58.5127
524,55.8212
525,48.2775
526,42.6701
527,42.3393
528,69.5614
529,69.2237
530,68.1316
531,51.3478
532,51.0001
533,72.9835
534,72.6294
535,56.4009
536,40.3621
537,39.9989
538,44.3884
539,45.8382
540,45.4664
541,38.6954
542,19.4713
543,10.2628
544,9.88026
545,17.5869
546,29.1094
547,41.9195
548,41.5272
549,39.8173
550,32.7598
551,19.1991
552,5.81716
553,5.41381
554,9.17474
555,20.4708
556,40.4351
557,40.0239
558,32.8009
559,11.9604
560,11.5439
561,16.9759
562,22.0859
563,26.8038
564,26.3808
565,23.7576
566,21.6603
567,21.233
568,25.4767
569,34.1655
570,46.1938
571,45.7615
572,19.4223
573,-0.2075
574,-0.643072
575,10.6808
576,27.9466
577,48.7077
578,62.9406
579,63.5303
580,63.0896
581,40.8707
582,22.4319
583,21.9894
584,38.7587
585,38.3153
586,11.9001
587,7.00821
588,6.5638
589,25.009
590,24.5641
591,24.8434
592,24.3984
593,28.917
594,35.0066
595,48.422
596,55.9407
597,55.496
598,46.2152
599,41.594
600,41.1501
601,40.9873
602,43.2538
603,42.8112
604,38.9664
605,38.5248
606,38.5943
607,50.6526
608,62.9157
609,76.2622
610,75.824
611,70.9335
612,53.657
613,47.1782
614,43.9634
615,30.6031
616,6.00283
617,5.57123
618,18.8951
619,46.0524
620,57.3318
621,66.9257
622,66.5
623,61.8771
624,61.454
625,63.5076
626,64.7462
627,64.3273
628,63.9099
629,70.2152
630,80.9042
631,80.4915
632,58.6103
633,54.9421
634,54.5342
635,61.4315
636,61.027
637,53.4288
638,39.7755
639,22.8271
640,22.4298
641,40.7612
642,54.4639
643,54.0722
644,46.8002
645,45.2551
646,44.8693
647,44.4856
648,43.7961
649,42.5774
650,41.2442
651,40.8688
652,58.239
653,76.349
654,75.98
655,63.0549
656,62.6903
657,69.7953
658,79.9847
659,87.2654
660,86.9098
661,71.8529
662,42.9572
663,42.6086
664,57.3861
665,57.0421
666,46.416
667,35.4263
668,35.0894
669,41.5841
670,46.0224
671,49.6847
672,49.3575
673,44.0733
674,43.751
675,48.0922
676,47.7748
677,39.5375
678,33.6078
679,33.2979
680,58.1179
681,57.813
682,36.7841
683,36.4841
684,36.4673
685,53.0344
686,52.742
687,47.5327
688,42.5243
689,37.8908
690,37.6086
691,43.9021
692,50.572
693,59.1429
694,58.8708
695,36.9697
696,-1.10861
697,-1.37305
698,21.1165
699,21.736
700,21.4793
701,19.983
702,19.7315
703,24.5153
704,24.2692
705,19.6538
706,19.4131
707,26.5094
708,33.1596
709,38.8546
710,38.6251
711,37.1403
712,30.5638
713,23.2199
714,17.0544
715,16.8392
716,24.6955
717,26.3032
718,26.0969
719,25.8937
720,33.6986
721,35.2818
722,35.0876
723,23.6685
724,23.4804
725,33.3148
726,41.2053
727,45.429
728,49.9267
729,57.2532
730,62.5467
731,62.3807
732,58.5514
733,40.0189
734,11.6666
735,11.5134
736,31.2391
737,32.0828
738,31.9395
739,21.305
740,21.1683
741,34.4997
742,41.9576
743,43.6204
744,43.497
745,29.1829
746,29.0662
747,45.4325
748,65.0275
749,64.9209
750,59.1528
751,59.0529
752,58.0581
