#wnum,raman
275,15.5961
276,19.3745
277,24.673
278,34.6073
279,39.5305
280,39.3782
281,39.0096
282,20.6901
283,20.5378
284,20.4511
285,44.5956
286,51.0647
287,50.9124
288,44.7936
289,36.3372
290,28.4692
291,28.3169
292,32.5872
293,32.4347
294,13.8721
295,-1.73067
296,-1.88333
297,4.25807
298,14.3481
299,30.7148
300,30.5621
301,22.4716
302,11.0985
303,10.9461
304,10.9423
305,14.522
306,22.1927
307,33.9206
308,40.8558
309,40.7047
310,37.5233
311,28.4408
312,17.8236
313,9.50146
314,6.21057
315,6.06179
316,5.82435
317,6.6982
318,11.9187
319,19.5201
320,19.374
321,13.0295
322,11.5004
323,11.3561
324,12.8371
325,17.4866
326,24.3879
327,29.6175
328,30.814
329,31.9604
330,31.8214
331,24.5576
332,15.9223
333,9.5682
334,8.65061
335,8.51609
336,9.6262
337,14.547
338,24.2963
339,24.1657
340,21.4334
341,10.9278
342,10.4877
343,10.3615
344,14.6525
345,18.1035
346,21.1213
347,23.8208
348,23.7004
349,16.293
350,4.30896
351,4.19241
352,9.06452
353,18.5669
354,18.4543
355,13.6702
356,13.5603
357,22.5214
358,29.7637
359,29.6581
360,25.2325
361,25.1298
362,27.7627
363,30.7642
364,30.666
365,23.9772
366,23.8822
367,33.4112
368,39.5007
369,39.4104
370,28.4141
371,16.4532
372,4.6668
373,4.5831
374,24.5276
375,53.0248
376,52.9462
377,42.777
378,26.7961
379,7.30498
380,3.67644
381,3.60661
382,14.8293
383,18.4239
384,20.5813
385,20.5187
386,19.7439
387,19.6849
388,21.2914
389,24.8559
390,24.8027
391,10.3529
392,10.3035
393,20.7859
394,36.3574
395,41.4524
396,41.4107
397,33.4323
398,19.0354
399,13.3067
400,8.0804
401,4.25517
402,4.22533
403,14.5567
404,22.7588
405,31.4505
406,43.3849
407,47.7313
408,47.7387
409,47.7234
410,50.8246
411,55.4049
412,55.3955
413,47.8863
414,47.881
415,53.679
416,53.678
417,34.047
418,27.3013
419,27.3065
420,34.6823
421,43.3048
422,56.8353
423,76.9003
424,81.9186
425,81.9365
426,81.9564
427,82.0705
428,99.1512
429,131.524
430,131.552
431,120.839
432,100.99
433,101.024
434,105.895
435,105.934
436,98.1674
437,98.21
438,105.017
439,106.448
440,106.496
441,85.3334
442,85.3859
443,87.6005
444,87.6567
445,76.9553
446,69.1576
447,69.2194
448,75.5035
449,75.5689
450,70.5862
451,69.9226
452,69.9932
453,77.2316
454,77.3056
455,49.2571
456,47.7641
457,47.8428
458,70.277
459,70.3588
460,55.5632
461,48.4587
462,48.5447
463,48.6321
464,44.8073
465,21.6563
466,21.7476
467,45.1967
468,48.3313
469,49.8373
470,49.9334
471,56.3344
472,56.4327
473,53.2071
474,49.2061
475,49.3073
476,50.0757
477,50.1786
478,46.9573
479,44.6517
480,43.9744
481,33.4971
482,17.3973
483,11.2854
484,6.11191
485,6.22036
486,12.2586
487,25.2689
488,36.2344
489,36.3445
490,26.4023
491,17.3604
492,17.4714
493,27.7201
494,35.6958
495,38.2312
496,39.2314
497,42.6653
498,43.5312
499,43.6426
500,34.6436
501,33.6528
502,33.7637
503,45.5746
504,45.6849
505,40.1187
506,31.6909
507,24.2258
508,16.7957
509,16.9037
510,23.8063
511,32.416
512,38.3865
513,38.7868
514,41.6985
515,41.8021
516,36.9912
517,30.9057
518,25.1953
519,23.3805
520,21.2918
521,20.2365
522,12.6901
523,12.7849
524,20.5878
525,35.4484
526,43.9897
527,44.0788
528,25.2256
529,10.5599
530,10.2761
531,10.3586
532,26.5204
533,48.6045
534,58.5139
535,65.8941
536,65.9671
537,39.3394
538,25.3577
539,25.4244
540,45.2535
541,57.0497
542,57.1094
543,50.5755
544,32.7888
545,23.1412
546,23.1908
547,37.3054
548,41.2959
549,41.3373
550,39.4491
551,36.5367
552,36.5693
553,37.8822
554,37.9086
555,35.2143
556,11.7184
557,10.7605
558,10.7738
559,14.3005
560,14.3068
561,3.21333
562,-3.67366
563,-4.54321
564,-4.55158
565,27.9811
566,50.774
567,50.7547
568,36.9134
569,31.3017
570,31.2719
571,31.4215
572,31.385
573,31.3452
574,31.4005
575,38.1141
576,39.6766
577,39.6244
578,36.0155
579,34.028
580,31.7958
581,28.1658
582,28.0993
583,29.5128
584,29.441
585,26.1034
586,24.6003
587,24.5209
588,26.8128
589,30.249
590,37.755
591,45.9732
592,45.8822
593,45.3033
594,38.7008
595,35.3886
596,35.2893
597,41.6075
598,51.8199
599,51.7149
600,47.4984
601,46.1925
602,46.0821
603,45.9701
604,37.7433
605,19.5023
606,19.3856
607,20.7693
608,20.6497
609,16.8192
610,16.6969
611,28.8075
612,40.2699
613,40.1438
614,32.7208
615,26.0637
616,18.7347
617,18.6042
618,31.0121
619,44.7378
620,50.991
621,53.6787
622,53.5437
623,45.9727
624,39.0444
625,33.3286
626,33.1907
627,33.9145
628,35.7934
629,35.6537
630,33.7213
631,33.5807
632,40.6688
633,44.8027
634,48.3071
635,49.7954
