#wnum,raman
275,11.3482
276,8.77335
277,3.68021
278,-1.63539
279,-1.79055
280,5.70684
281,6.35221
282,6.19719
283,6.0423
284,9.1121
285,21.3608
286,21.2065
287,12.6134
288,0.354442
289,-0.716049
290,-0.869185
291,-0.24267
292,1.01393
293,3.23718
294,9.32285
295,14.9342
296,18.2003
297,18.3274
298,19.1844
299,21.505
300,23.3698
301,23.2237
302,22.1724
303,22.0283
304,30.7879
305,40.1203
306,39.9795
307,33.2139
308,33.0756
309,35.4936
310,41.411
311,69.6009
312,101.738
313,127.015
314,137.325
315,149.217
316,166.393
317,189.92
318,230.327
319,273.116
320,317.355
321,355.096
322,393.984
323,426.873
324,468.367
325,518.247
326,572.242
327,619.42
328,652.989
329,682.442
330,682.341
331,677.6
332,654.641
333,609.785
334,568.39
335,536.974
336,502.421
337,468.677
338,437.812
339,407.79
340,364.599
341,309.843
342,259.868
343,225.94
344,195.416
345,156.353
346,117.479
347,97.8887
348,93.2183
349,90.1174
350,75.0043
351,61.7929
352,44.4301
353,23.5808
354,6.35466
355,-7.36214
356,-7.43465
357,-5.83027
358,13.1317
359,13.0595
360,4.11456
361,4.04303
362,14.5008
363,32.0371
364,31.9674
365,14.7019
366,12.3612
367,12.2945
368,20.5853
369,33.9331
370,48.1554
371,57.2615
372,60.0401
373,64.2321
374,82.2909
375,102.426
376,116.165
377,130.222
378,150.359
379,174.553
380,197.31
381,234.75
382,290.537
383,358.919
384,434.514
385,516.499
386,599.174
387,689.443
388,781.234
389,868.198
390,939.71
391,973.034
392,981.165
393,981.161
394,958.739
395,891.3
396,772.791
397,649.09
398,553.966
399,476.492
400,410.224
401,344.686
402,286.022
403,233.74
404,196.019
405,174.826
406,153.998
407,154.042
408,154.419
409,157.969
410,158.022
411,144.06
412,137.469
413,134.862
414,128.556
415,120.077
416,109.596
417,91.2507
418,72.9527
419,59.1877
420,49.2792
421,40.643
422,27.8809
423,16.6677
424,5.16307
425,-2.32992
426,-2.2383
427,17.8883
428,30.9277
429,31.0249
430,25.089
431,21.5193
432,19.2832
433,13.6094
434,-0.892343
435,-0.798196
436,-0.688563
437,16.7116
438,16.8246
439,1.68336
440,1.79979
441,11.9109
442,30.915
443,33.0734
444,33.1966
445,31.2908
446,28.1631
447,28.2914
448,54.902
449,79.7115
450,88.7716
451,92.667
452,105.011
453,132.469
454,156.219
455,164.021
456,175.234
457,197.374
458,228.721
459,261.971
460,297.553
461,337.608
462,355.603
463,363.446
464,372.254
465,382.433
466,382.592
467,381.135
468,364.611
469,342.427
470,314.796
471,286.653
472,263.302
473,244.901
474,222.656
475,196.689
476,166.831
477,138.791
478,119.905
479,118.4
480,117.442
481,99.4919
482,77.1174
483,62.9619
484,57.1801
485,52.4703
486,44.5478
487,37.7949
488,37.9704
489,41.5554
490,50.6567
491,65.7555
492,80.9742
493,96.4535
494,116.749
495,127.822
496,137.961
497,147.034
498,161.205
499,186.384
500,224.743
501,260.634
502,299.539
503,332.641
504,351.584
505,351.746
506,336.292
507,306.797
508,273.735
509,250.95
510,232.842
511,200.075
512,148.171
513,101.201
514,86.686
515,78.7651
516,77.1833
517,76.6992
518,72.7837
519,60.4449
520,58.463
521,58.5833
