#wnum,raman
275,270.093
276,270.373
277,256.214
278,242.155
279,225.364
280,207.793
281,191.492
282,177.532
283,163.67
284,158.652
285,154.711
286,146.648
287,133.254
288,120.229
289,119.232
290,118.294
291,107.402
292,89.1761
293,75.1437
294,75.4212
295,75.832
296,76.1087
297,72.199
298,68.023
299,63.6949
300,59.4373
301,52.5334
302,44.8095
303,45.0823
304,46.815
305,47.0863
306,45.6676
307,37.8099
308,30.7142
309,25.1664
310,20.8664
311,21.1325
312,21.7784
313,22.7333
314,24.7061
315,24.9678
316,21.7916
317,17.9879
318,18.2459
319,18.5026
320,18.2358
321,13.8597
322,9.60424
323,8.68355
324,8.06488
325,8.31272
326,9.71614
327,11.1184
328,11.3612
329,11.5598
330,10.1721
331,8.02561
332,6.28577
333,5.70414
334,5.06664
335,2.70806
336,0.0585461
337,0.283989
338,0.559538
339,0.780626
340,0.511051
341,0.727606
342,1.81592
343,9.76969
344,17.4389
345,21.694
346,23.8092
347,24.011
348,19.522
349,14.4295
350,8.53036
351,6.37759
352,6.566
353,12.4823
354,12.665
355,8.19182
356,2.79523
357,1.84043
358,0.991567
359,-0.82973
360,-3.22535
361,-3.06408
362,-0.676819
363,2.86631
364,3.01806
365,3.1667
366,3.99637
367,9.5362
368,9.67568
369,9.27691
370,5.06608
371,5.19669
372,12.0948
373,13.8954
374,14.0174
375,13.4299
376,13.5464
377,18.1115
378,18.2225
379,16.3516
380,12.8893
381,12.3681
382,11.7874
383,9.60405
384,6.75427
385,4.15022
386,2.37041
387,2.45832
388,5.61773
389,12.5073
390,12.588
391,12.3001
392,9.96879
393,10.0426
394,10.8165
395,13.1179
396,16.6845
397,16.7496
398,16.3098
399,13.2586
400,10.0693
401,6.82161
402,6.87626
403,6.98502
404,8.42707
405,11.1285
406,13.6788
407,15.8173
408,17.4133
409,17.4546
410,10.8448
411,9.6509
412,9.68681
413,16.9717
414,20.9813
415,21.647
416,21.6762
417,19.543
418,16.6935
419,14.9555
420,13.6797
421,12.4834
422,11.1985
423,11.2168
424,12.2533
425,14.3398
426,17.4784
427,21.7727
428,23.7014
429,23.7114
430,21.7068
431,21.7142
432,21.7203
433,20.1794
434,12.1927
435,11.6914
436,11.6927
437,18.5849
438,19.079
439,19.077
440,17.9994
441,16.4376
442,15.662
443,15.6557
444,16.3553
445,17.8692
446,20.2671
447,23.3159
448,27.8806
449,32.1304
450,32.1176
451,32.0883
452,31.3499
453,30.4597
454,29.3048
455,25.6625
456,22.5526
457,20.7635
458,20.1585
459,20.1386
460,24.9865
461,27.745
462,27.723
463,25.6052
464,20.0752
465,12.296
466,9.61586
467,9.59082
468,12.0529
469,17.2072
470,22.7956
471,22.7683
472,21.8899
473,21.2133
474,21.1846
475,21.1554
476,19.4855
477,16.3326
478,13.0724
479,9.81102
480,9.0483
481,9.01657
482,10.5776
483,14.0251
484,18.4526
485,22.1366
486,23.7879
487,23.7541
488,18.8004
489,13.0098
490,12.9751
491,15.2292
492,15.194
493,13.8855
494,11.581
495,10.1464
496,10.1102
497,11.1419
498,15.791
499,15.7543
500,14.2421
501,13.4191
502,13.3819
503,16.1457
504,16.1082
505,13.0455
506,12.4645
507,12.4267
508,13.4157
509,14.3834
510,15.9832
511,15.9451
512,15.8569
513,15.8187
514,16.0493
515,17.2954
516,17.476
517,17.5848
518,18.5139
519,20.3025
520,20.2641
521,19.8799
522,19.0428
523,19.0044
524,21.017
525,22.0901
526,22.2629
527,22.2247
528,18.2652
529,14.3059
530,10.285
531,7.18758
532,7.14962
533,13.1189
534,16.141
535,16.1033
536,13.8931
