#wnum,raman
275,230.945
276,227.469
277,206.306
278,189.626
279,189.87
280,203.52
281,203.765
282,201.784
283,194.495
284,171.635
285,160.051
286,160.295
287,205.872
288,225.978
289,226.222
290,204.862
291,202.826
292,203.069
293,207.358
294,214.304
295,220.383
296,220.625
297,212.093
298,207.021
299,207.261
300,207.5
301,200.015
302,191.039
303,181.333
304,169.79
305,157.834
306,147.328
307,137.436
308,137.669
309,147.854
310,148.084
311,126.039
312,98.1626
313,82.8533
314,74.2224
315,70.6484
316,70.8701
317,71.09
318,64.5586
319,55.1715
320,44.7607
321,32.0697
322,26.0325
323,26.2407
324,33.0711
325,33.2748
326,30.9973
327,28.0192
328,25.1803
329,22.4975
330,13.5718
331,1.60496
332,1.79026
333,9.33689
334,22.025
335,22.2012
336,21.8353
337,17.5168
338,8.63154
339,0.0371543
340,-0.143711
341,0.0122611
342,1.14727
343,3.6423
344,6.79846
345,13.4458
346,13.5827
347,10.8087
348,-3.26655
349,-4.32413
350,-4.20391
351,-0.962763
352,-0.851039
353,-3.88
354,-3.77658
355,-1.44268
356,3.6586
357,32.9574
358,63.7223
359,63.807
360,55.5039
361,55.5821
362,61.1175
363,71.9233
364,83.7273
365,97.142
366,115.194
367,135.913
368,155.296
369,167.166
370,183.235
371,214.854
372,254.244
373,291.215
374,318.755
375,342.67
376,357.652
377,376.253
378,392.863
379,401.055
380,407.727
381,418.029
382,431.175
383,453.68
384,477.996
385,494.617
386,494.79
387,494.833
388,493.825
389,488.155
390,479.891
391,465.506
392,445.14
393,405.988
394,368.453
395,333.406
396,301.68
397,285.639
398,285.685
399,285.732
400,262.077
401,231.102
402,228.071
403,228.12
404,228.17
405,223.023
406,209.387
407,203.34
408,202.546
409,198.733
410,187.852
411,176.152
412,158.658
413,141.391
414,131.392
415,127.705
416,123.691
417,120.036
418,119.253
419,112.847
420,101.233
421,87.2102
422,69.7822
423,55.9193
424,55.982
425,56.0452
426,55.1756
427,47.4394
428,41.5195
429,40.1194
430,40.185
431,42.9229
432,42.9892
433,40.5506
434,18.2311
435,18.2985
436,22.7769
437,36.2688
438,36.337
439,14.5962
440,4.1056
441,4.17441
442,7.14747
443,13.9715
444,20.5894
445,21.0872
