#wnum,raman
275,165.333
276,165.656
277,152.138
278,138.802
279,128.573
280,119.179
281,111.942
282,108.358
283,104.786
284,99.4115
285,93.916
286,94.2384
287,97.5931
288,97.9152
289,88.9486
290,76.4917
291,71.1031
292,70.6703
293,70.1415
294,69.1491
295,68.2778
296,65.4064
297,62.1277
298,58.3845
299,52.9189
300,47.3779
301,47.6969
302,48.9458
303,51.2902
304,54.6203
305,56.9038
306,57.2206
307,56.9986
308,54.5237
309,48.2661
310,42.3508
311,39.5828
312,37.315
313,36.2796
314,35.6732
315,34.9307
316,33.1306
317,31.1081
318,30.6955
319,31.0031
320,33.7149
321,39.5877
322,40.652
323,40.9557
324,36.7722
325,36.288
326,36.5884
327,36.8877
328,35.2856
329,33.6426
330,32.3987
331,31.1568
332,29.8564
333,28.4464
334,27.1704
335,22.1453
336,16.0981
337,16.3837
338,20.7863
339,24.1758
340,24.4566
341,22.9818
342,23.2591
343,23.7866
344,24.24
345,25.5369
346,25.8069
347,24.8164
348,20.8129
349,17.9098
350,17.3845
351,16.734
352,9.59638
353,1.85937
354,2.11275
355,2.91721
356,4.91113
357,5.15759
358,4.25875
359,3.47431
360,2.77732
361,1.61101
362,-1.00009
363,-1.2241
364,-0.995267
365,2.72655
366,5.1658
367,5.38662
368,5.60416
369,2.82523
370,2.07973
371,2.28975
372,6.83363
373,10.634
374,12.7088
375,14.9325
376,15.1287
377,13.7932
378,12.2442
379,10.4557
380,10.6407
381,12.3855
382,14.8245
383,15.001
384,10.7504
385,10.8493
386,11.0172
387,12.7274
388,12.8895
389,10.8681
390,9.27545
391,8.50328
392,7.76755
393,2.69407
394,-2.2361
395,-2.0947
396,1.9693
397,6.72293
398,13.6664
399,18.279
400,18.4058
401,14.3485
402,11.6115
403,10.5133
404,9.38621
405,7.87251
406,6.4048
407,5.75968
408,5.54844
409,4.85937
410,2.76927
411,1.03907
412,1.1337
413,1.99815
414,2.61122
415,2.96877
416,3.57698
417,5.74852
418,7.90017
419,15.9212
420,26.0955
421,26.1688
422,23.9462
423,17.53
424,15.6822
425,13.8933
426,12.5959
427,12.4771
428,12.5354
429,20.1582
430,21.7643
431,21.8166
432,13.1881
433,13.2365
434,16.7356
435,22.2548
436,22.2976
437,21.9787
438,22.0178
439,22.0551
440,22.0654
441,17.5264
442,12.6628
443,10.6936
444,10.7224
445,11.8599
446,18.2202
447,18.2442
448,14.8692
449,10.5646
450,10.584
451,15.2248
452,15.2413
453,14.8311
454,13.2053
455,13.2175
456,13.842
457,14.556
458,15.1054
459,15.2261
460,15.2317
461,15.2361
462,17.9148
463,19.0407
464,19.0414
465,14.0681
466,9.26502
467,5.12861
468,5.12472
469,6.41814
470,12.8428
471,12.8357
472,11.4901
473,11.4809
474,13.2362
475,14.4798
476,14.4678
477,10.654
478,9.68533
479,9.67056
480,9.65491
481,6.38082
482,5.11217
483,5.09404
484,8.98409
485,13.6169
486,19.4759
487,21.9905
