#wnum,raman
275,10.398
276,10.2814
277,14.5609
278,14.4443
279,3.34978
280,-0.840222
281,-0.956826
282,21.5731
283,21.4565
284,11.8895
285,-0.839161
286,-0.955562
287,20.4987
288,25.8413
289,25.7253
290,17.8549
291,15.2418
292,15.0399
293,14.9249
294,19.3934
295,20.3339
296,20.2201
297,20.1066
298,22.883
299,41.0523
300,40.9404
301,29.5434
302,5.12625
303,5.01614
304,22.8048
305,27.5383
306,27.4303
307,26.9945
308,26.888
309,38.931
310,50.0239
311,56.5713
312,62.5683
313,65.7614
314,68.6016
315,84.3829
316,109.254
317,134.154
318,150.808
319,167.301
320,192.11
321,221.061
322,255.099
323,288.39
324,320.537
325,358.213
326,398.807
327,431.462
328,448.729
329,455.387
330,455.304
331,450.866
332,436.564
333,414.065
334,391.846
335,372.896
336,353.996
337,337.153
338,319.858
339,294.394
340,257.22
341,221.576
342,193.06
343,165.017
344,136.829
345,110.081
346,85.2627
347,85.1945
348,85.1266
349,78.6172
350,62.4555
351,54.0848
352,54.0179
353,53.951
354,35.0791
355,4.68358
356,4.61645
357,4.74146
358,8.09353
359,8.02555
360,-6.73466
361,-6.80356
362,-3.4774
363,3.94606
364,13.905
365,24.0563
366,23.9858
367,21.424
368,21.3536
369,31.254
370,39.7636
371,39.694
372,38.4044
373,38.3359
374,48.0965
375,59.037
376,71.4258
377,84.3044
378,96.1253
379,106.754
380,123.129
381,144.78
382,168.697
383,214.047
384,262.825
385,328.695
386,403.84
387,479.113
388,535.679
389,590.57
390,636.665
391,683.434
392,683.394
393,675.948
394,642.491
395,583.364
396,524.093
397,453.347
398,370.979
399,296.064
400,253.271
401,212.419
402,168.511
403,121.155
404,92.167
405,92.1577
406,92.3549
407,95.9874
408,100.179
409,107.004
410,114.103
411,119.987
412,123.307
413,123.317
414,118.841
415,110.28
416,95.6405
417,74.5691
418,55.7442
419,49.8895
420,44.5522
421,35.316
422,23.125
423,12.7918
424,5.36553
425,4.37014
426,4.40927
427,12.4489
428,12.4923
429,9.6164
430,4.52543
431,4.57329
432,4.62489
433,4.98549
434,5.40191
435,6.92776
436,11.0861
437,11.1476
438,10.0412
439,7.94619
440,8.01331
441,20.5252
442,23.4548
443,23.5274
444,23.6018
445,24.9159
446,36.8536
447,48.3097
448,56.9875
449,63.2987
450,63.3833
451,63.4696
452,66.9392
453,74.9183
454,86.3398
455,105.38
456,125.645
457,136.332
458,147.257
459,154.062
460,156.892
461,168.766
462,214.576
463,260.27
464,267.414
465,267.52
466,265.61
467,265.572
468,261.065
469,245.696
470,229.492
471,192.622
472,149.873
473,124.294
474,124.31
475,124.1
476,92.0739
477,61.06
478,55.8366
479,55.3942
480,55.5117
481,47.5998
482,41.7508
483,41.8688
484,42.9911
485,43.1091
486,37.7823
487,37.2536
488,37.371
489,37.4881
490,36.2953
491,36.4114
492,37.1389
493,48.9606
494,59.0465
495,60.2262
496,64.0636
497,74.856
498,89.5307
499,119.741
500,162.864
501,200.486
502,205.391
503,206.827
504,221.597
505,236.076
506,236.175
507,227.775
508,210.265
509,162.883
510,117.2
511,104.021
512,103.582
513,96.9291
514,77.5739
515,61.1232
516,48.8324
517,39.1186
518,39.1903
519,39.259
520,38.794
521,14.6014
522,10.1503
523,10.2059
524,27.1679
525,27.2163
526,24.874
527,17.4504
528,4.83568
529,4.86836
530,7.01305
531,19.6961
532,26.6331
533,29.988
534,33.5554
535,40.8456
536,40.8465
537,40.2327
538,32.1184
539,20.1989
540,6.94157
541,-2.67585
542,-7.28862
543,-7.32485
544,-3.88593
545,3.57603
546,8.18126
547,11.739
548,15.379
549,19.282
550,21.3961
551,21.3173
552,19.9475
553,14.9421
554,8.427
555,8.32917
556,10.8505
557,10.7438
558,6.2198
559,0.786976
560,0.667609
561,5.70077
562,5.57347
563,-0.140625
564,-0.275475
565,5.96713
566,13.5785
567,13.433
568,9.66643
569,6.08449
570,2.141
571,1.98287
572,2.53843
573,2.37456
574,0.592924
575,-1.20978
576,-1.38152
577,5.72203
578,5.5456
579,3.0708
580,2.89019
581,2.77035
582,7.91992
583,14.2818
584,22.4503
585,29.7429
586,34.2309
587,34.0396
588,31.4149
589,25.5331
590,25.3391
591,29.8273
592,33.8226
593,36.0438
594,36.9527
595,37.4129
596,37.2168
597,54.4338
598,75.6648
599,93.9146
600,113.271
601,131.841
602,141.674
603,148.833
604,148.641
605,144.267
606,144.077
607,143.889
608,140.693
609,111.868
610,82.9441
611,67.5888
612,64.8046
613,64.6258
614,83.4112
615,83.2366
616,67.4018
617,67.2317
618,82.5555
619,110.515
620,122.436
621,133.188
622,148.265
623,169.85
624,192.191
625,214.393
626,234.924
627,241.709
628,241.649
629,246.042
630,246.057
631,245.929
632,220.599
