#wnum,raman
275,8.30662
276,9.71678
277,9.70995
278,11.093
279,11.9883
280,12.6549
281,13.8539
282,16.5712
283,18.1871
284,18.1803
285,16.2974
286,16.2906
287,17.9697
288,17.9628
289,14.2556
290,8.23693
291,6.36071
292,6.35379
293,6.34684
294,4.48909
295,4.4821
296,4.96122
297,10.5534
298,10.5463
299,6.56664
300,0.216749
301,0.209558
302,3.56342
303,3.55614
304,3.15415
305,3.14678
306,6.15856
307,11.8607
308,11.8532
309,10.1993
310,10.1916
311,12.2113
312,15.985
313,15.9771
314,10.6828
315,10.3977
316,10.3895
317,13.5957
318,13.5874
319,12.2855
320,10.5453
321,7.78634
322,5.00048
323,4.99158
324,5.05861
325,5.54289
326,6.25504
327,6.34087
328,6.3313
329,5.94502
330,4.50468
331,2.41687
332,2.40666
333,5.56847
334,9.02375
335,9.01301
336,7.16535
337,4.87352
338,1.82912
339,-0.557587
340,-0.56932
341,0.261592
342,0.764096
343,0.983721
344,1.36676
345,2.91405
346,4.44514
347,4.43205
348,4.61114
349,5.06284
350,8.26702
351,8.25328
352,7.07546
353,1.75759
354,0.449815
355,0.435503
356,0.657141
357,0.642573
358,0.0150613
359,-0.0656071
360,-0.0805202
361,0.618645
362,3.22232
363,5.79766
364,7.48626
365,8.84333
366,8.82789
367,8.63696
368,8.00867
369,5.43886
370,2.86183
371,2.70093
372,2.68518
373,4.29233
374,9.3656
375,12.0655
376,12.0496
377,8.61271
378,8.59686
379,9.05135
380,10.543
381,10.8067
382,10.7909
383,9.27613
384,6.51134
385,6.49563
386,7.98747
387,9.22767
388,9.21209
389,6.85457
390,6.83909
391,7.2581
392,7.24275
393,6.06832
394,3.56812
395,3.55299
396,4.43996
397,5.91163
398,8.10123
399,10.1236
400,11.1455
401,12.0085
402,13.7659
403,16.5593
404,16.545
405,13.3013
406,7.56229
407,7.54837
408,10.1066
409,12.815
410,15.4415
411,15.4281
412,14.2725
413,10.6039
414,10.5909
415,11.4668
416,11.4541
417,5.86437
418,2.62934
419,2.61704
420,7.6331
421,7.6211
422,3.00716
423,2.90133
424,2.88978
425,7.82197
426,9.86141
427,9.97887
428,9.96794
429,7.61318
430,7.60256
431,8.71816
432,12.8657
433,12.8556
434,8.29777
435,4.16095
436,2.88418
437,2.59431
438,2.58497
439,4.10596
440,5.36538
441,6.27149
442,6.26281
443,5.09435
444,4.74523
445,4.73704
446,8.34129
447,10.8868
448,11.1812
449,11.1736
450,8.0566
451,3.7075
452,1.38184
453,0.706287
454,0.699534
455,2.99093
456,5.29462
457,6.37521
458,6.8134
459,6.80742
460,5.40413
461,5.39845
462,6.18764
463,7.83704
464,8.46428
465,8.71206
466,9.32463
467,10.6344
468,10.6297
469,8.28303
470,4.80142
471,4.79718
472,6.98844
473,6.98447
474,4.28415
475,1.84824
476,1.84466
477,1.8412
478,1.8052
479,-0.242425
480,-0.245523
481,1.85303
482,4.80565
483,5.84642
484,6.61042
485,6.60794
486,6.73944
487,6.9461
488,9.32853
489,11.7334
490,12.0895
491,12.0878
492,11.0695
493,9.19588
494,9.19465
495,11.49
496,13.849
497,13.8482
498,12.0556
499,10.4452
500,9.1834
501,7.71872
502,3.254
503,1.57915
504,1.57946
505,6.60425
506,10.4085
507,12.5272
508,12.5282
509,6.65055
510,6.65182
511,8.12886
512,22.082
513,22.1084
514,22.1103
515,20.0806
516,20.0828
517,23.5847
518,24.7458
519,24.7485
520,23.935
521,21.1569
522,20.3403
523,20.3436
524,22.1913
525,22.5024
526,22.5061
527,20.2412
528,15.667
529,14.3472
530,14.3515
531,14.3559
532,13.8962
533,10.3606
534,8.09889
535,6.94462
536,6.94959
537,11.3728
538,15.5003
539,15.5055
540,12.2911
541,10.6514
542,10.6569
543,10.7223
544,11.447
545,11.4527
546,9.21767
547,5.05881
548,4.27397
549,4.27983
550,5.73599
551,9.81718
552,12.338
553,12.3439
554,9.67448
555,7.7994
556,6.42909
557,6.43501
558,7.70551
559,9.79837
560,13.856
561,15.1286
562,15.1344
563,4.93711
564,-0.333364
565,-0.327784
566,2.04504
567,4.43135
568,6.79759
569,9.3336
570,11.9093
571,11.9145
572,6.75759
573,1.43837
574,1.44327
575,1.92641
576,6.04717
577,12.3449
578,13.4023
579,13.4068
580,12.7424
