#wnum,raman
275,18.8206
276,19.1225
277,25.8607
278,33.5234
279,38.0781
280,40.7878
281,40.7045
282,34.5398
283,27.76
284,18.4954
285,9.50728
286,9.42391
287,22.7473
288,40.443
289,51.1619
290,54.8418
291,54.7583
292,28.8621
293,28.6059
294,28.5222
295,45.5975
296,45.5137
297,37.1355
298,29.435
299,25.9674
300,21.9569
301,21.8728
302,23.1938
303,23.2516
304,26.9721
305,40.4912
306,41.2912
307,41.2063
308,34.821
309,28.2066
310,25.8449
311,25.7592
312,35.9939
313,35.9078
314,28.6898
315,18.0389
316,16.8744
317,13.3708
318,13.2835
319,15.628
320,15.54
321,10.7248
322,0.0683998
323,-0.572281
324,-0.661603
325,-0.751295
326,-1.03577
327,-1.12619
328,5.31731
329,11.9983
330,16.3125
331,20.3259
332,25.6768
333,25.5847
334,24.9813
335,22.0942
336,22.0017
337,21.909
338,13.6401
339,9.33515
340,9.24231
341,9.73007
342,9.63725
343,3.13522
344,3.04252
345,8.96498
346,22.9132
347,22.8209
348,13.704
349,5.8961
350,5.80437
351,11.544
352,21.5785
353,31.6615
354,32.2157
355,32.1255
356,19.087
357,12.0856
358,11.9965
359,14.1746
360,14.0864
361,13.9987
362,23.483
363,36.1078
364,41.6018
365,41.5163
366,35.886
367,23.6075
368,19.5112
369,19.4281
370,27.6375
371,27.5559
372,22.8669
373,18.9509
374,18.8715
375,21.7726
376,21.6947
377,18.1626
378,18.0863
379,19.6043
380,24.0091
381,23.9354
382,18.7675
383,18.6956
384,37.0402
385,38.3638
386,39.6098
387,38.2266
388,27.6071
389,10.1709
390,10.1059
391,26.4017
392,33.2568
393,33.1949
394,14.5809
395,14.4599
396,14.4014
397,26.5122
398,30.4295
399,30.3743
400,28.4725
401,24.1982
402,18.4507
403,18.4003
404,19.7309
405,32.508
406,35.9442
407,37.5038
408,41.6832
409,41.6402
410,33.5374
411,27.176
412,27.1369
413,39.5436
414,39.5071
415,34.0516
416,29.0079
417,28.9754
418,36.6369
419,47.7509
420,57.1619
421,57.1349
422,53.3001
423,53.2758
424,54.0675
425,59.7143
426,67.952
427,72.7894
428,72.7721
429,69.5506
430,69.0266
431,66.6394
432,65.3598
433,65.3494
434,65.3404
435,62.799
436,62.7928
437,64.6065
438,76.1935
439,85.491
440,85.4903
441,81.2355
442,76.4128
443,70.9437
444,63.1456
445,49.3031
446,35.1291
447,35.1377
448,52.9547
449,52.9659
450,50.82
451,38.6464
452,38.6613
453,51.5487
454,52.353
455,52.3716
456,52.3913
457,53.1207
458,57.5168
459,57.5401
460,51.6151
461,45.1703
462,37.3451
463,29.512
464,27.0737
465,27.1034
466,35.8736
467,45.9689
468,46.0015
469,28.614
470,15.1335
471,15.1689
472,30.7947
473,40.0265
474,43.6676
475,43.7063
476,38.0742
477,27.589
478,27.63
479,31.8196
480,33.7066
481,33.9922
482,35.7181
483,35.7625
484,29.8377
485,29.8832
486,33.1422
487,33.8453
488,33.8924
489,33.9399
490,35.4734
491,40.6485
492,48.3777
493,49.6172
494,49.6666
495,36.6977
496,26.8325
497,26.8826
498,29.615
499,29.6655
500,27.5963
501,27.647
502,29.2283
503,31.0201
504,33.622
505,33.6728
506,30.3743
507,20.9866
508,21.037
509,22.5016
510,24.5966
511,24.6464
512,24.696
513,31.4532
514,39.4645
515,39.5131
516,24.7997
517,13.8981
518,13.9453
519,30.2041
520,30.2502
521,24.9182
522,9.02659
523,-0.383968
524,-2.25756
