#wnum,raman
275,19.3559
276,19.9607
277,9.77066
278,10.3755
279,27.9077
280,68.2117
281,68.8165
282,65.0397
283,50.0682
284,50.673
285,51.2778
286,49.5696
287,36.323
288,29.5168
289,23.6453
290,24.25
291,30.559
292,46.5611
293,89.6249
294,90.2294
295,90.7453
296,88.649
297,87.829
298,71.4187
299,71.7146
300,72.3185
301,95.3272
302,100.078
303,100.681
304,86.6879
305,87.2909
306,92.7032
307,105.873
308,124.483
309,125.085
310,93.5356
311,79.7005
312,80.3016
313,81.0707
314,90.5479
315,91.1479
316,85.9175
317,86.5166
318,91.5104
319,97.3083
320,97.9058
321,76.1121
322,59.3664
323,54.0706
324,54.6656
325,59.7649
326,87.2478
327,87.8405
328,69.9066
329,70.4976
330,73.0985
331,73.6877
332,61.1846
333,61.7718
334,66.7888
335,76.9615
336,77.5454
337,73.571
338,69.1726
339,69.7528
340,71.9257
341,72.5032
342,73.0793
343,76.8168
344,77.39
345,45.9107
346,40.5701
347,41.1384
348,78.893
349,115.642
350,116.205
351,100.428
352,88.5423
353,89.0997
354,96.805
355,97.3583
356,97.9691
357,123.358
358,123.904
359,121.17
360,99.7278
361,90.485
362,80.1974
363,80.7319
364,83.5016
365,84.0307
366,70.6503
367,61.2489
368,61.7636
369,35.6209
370,3.11889
371,3.63037
372,13.4186
373,30.7432
374,38.2617
375,38.76
376,25.8757
377,-3.33055
378,-2.84286
379,9.64036
380,26.9937
381,28.2007
382,38.3901
383,43.2197
384,43.6853
385,44.1368
386,44.5949
387,54.9503
388,55.4009
389,52.9996
390,35.1723
391,17.1861
392,17.6216
393,21.0783
394,54.408
395,83.4126
396,89.9337
397,90.3498
398,63.5584
399,54.8516
400,55.2559
401,81.5107
402,81.9071
403,76.7251
404,69.4218
405,69.693
406,70.0732
407,68.1862
408,63.8245
409,60.1406
410,46.0146
411,20.5588
412,20.914
413,26.2426
414,43.5029
415,62.709
416,87.9832
417,88.3168
418,82.818
419,60.1466
420,60.4668
421,62.992
422,83.8408
423,100.979
424,119.948
425,120.246
426,98.6339
427,78.9276
428,79.0714
429,79.3498
430,86.6967
431,117.553
432,117.817
433,116.926
434,103.562
435,103.57
436,88.6169
437,88.8553
438,93.8462
439,118.359
440,131.21
441,137.193
442,137.405
443,117.828
444,84.7163
445,84.9117
446,102.905
447,134.835
448,182.143
449,182.316
450,148.984
451,109.858
452,105.163
453,105.312
454,107.359
455,115.758
456,115.888
457,115.179
458,106.771
459,106.881
460,116.563
461,140.359
462,149.537
463,153.023
464,155.585
465,155.655
466,153.294
467,120.112
468,120.16
469,120.759
470,137.519
471,137.545
472,111.307
473,94.9625
474,94.9661
475,103.822
476,110.393
477,110.372
478,102.292
479,93.33
480,88.2851
481,78.886
482,78.8239
483,80.2995
484,80.2201
485,77.3769
486,68.2461
487,68.1397
488,86.1237
489,104.792
490,104.658
491,95.2984
492,82.1284
493,81.9536
494,81.7807
495,77.2685
496,66.6791
497,60.3703
498,60.157
499,66.9643
500,80.8359
501,80.591
502,78.987
503,78.7205
504,88.9062
505,88.6176
506,66.747
507,36.1238
508,31.0174
509,30.6831
510,47.5865
511,70.7066
512,70.3368
513,69.9409
514,56.93
515,52.6801
516,49.8398
517,49.3166
518,47.9273
519,36.7405
520,28.0943
521,27.6111
522,39.7889
523,39.2791
524,21.8105
525,6.0139
526,3.519
527,2.95443
528,39.2392
529,38.6464
530,38.0325
531,1.43689
532,-11.4905
533,-12.1411
534,-10.9734
535,0.742315
536,3.31662
537,2.60814
538,-1.59419
539,-2.33036
540,35.6851
541,38.0264
542,37.3431
543,36.4619
544,32.7614
545,20.954
546,8.07026
547,7.23313
548,8.83022
549,23.6679
550,22.7971
551,18.8728
552,-0.214032
553,-1.11633
554,1.83205
555,6.31194
556,13.3406
557,22.879
558,21.9294
559,15.5356
560,14.569
561,18.8449
562,29.9395
563,38.0695
564,39.1395
565,44.6304
566,52.5123
567,58.4136
568,62.6126
569,70.5952
570,77.2774
571,76.2356
572,52.5963
573,26.8222
574,25.7654
575,32.135
576,51.3421
577,50.2725
578,37.2947
579,30.1439
580,29.0639
581,42.6748
582,51.5052
583,50.417
584,50.6658
585,49.8528
586,60.3404
587,67.8779
588,67.1765
589,66.0787
590,55.2875
591,38.9577
592,29.4154
