scanname Scan009
timestamp 2024-03-06 17:47:32
ccdbias 990.967285
ccdgain 4.313516
sigmaread 9.885917
laserwavenum -0.039825
wavenumcorrection -0.892949
scancount 3
totalexposurems 3953
singleexposurems 1939
measurementstate Unknown
scanmode Auto
snr 92.812256 24.598404 7.100382
replacelist 0
peaks 6
238.733017 0.685455 0.000000 11.576475 0.000575
377.620209 0.142874 0.000000 0.417890 0.000033
860.069702 0.135037 0.000000 0.239014 0.000020
972.378967 0.133578 0.000000 0.175503 0.000028
1096.277710 0.144412 0.000000 0.369676 0.000097
1116.996582 0.141587 0.000000 0.163479 0.000018
finalresult GLS_Single 1
UA2ECI	benfentmags-5	4.096206e-001
spectrum 2048
-92.782677 135.063263
-90.178528 135.742050
-87.576149 138.282806
-84.975517 135.497116
-82.376640 136.713669
-79.779510 126.459625
-77.184143 120.725090
-74.590523 119.303528
-71.998642 114.663719
-69.408516 106.772980
-66.820129 101.749321
-64.233498 96.447128
-61.648602 89.395271
-59.065445 83.037529
-56.484032 76.582298
-53.904350 70.165268
-51.326408 63.147774
-48.750202 58.187675
-46.175728 52.093246
-43.602982 45.997597
-41.031975 40.424572
-38.462688 36.491741
-35.895134 30.669653
-33.329300 0.565517
-30.765198 0.367878
-28.202812 0.327690
-25.642157 0.307088
-23.083221 0.289652
-20.525995 0.275086
-17.970488 0.271319
-15.416703 0.267346
-12.864633 0.267371
-10.314268 0.275771
-7.765615 0.335455
-5.218679 0.358592
-2.673453 0.373816
-0.129926 0.380038
2.411896 0.383457
4.952006 0.384825
7.490413 0.344571
10.027126 0.605052
12.562140 1.278640
15.095448 1.774328
17.627058 1.815763
20.156979 1.842140
22.685207 1.851970
25.211737 1.844445
27.736570 1.781881
30.259727 1.872736
32.781197 1.794727
35.300976 1.784718
37.819054 1.834975
40.335461 1.742687
42.850185 1.743116
45.363216 1.693019
47.874580 1.626200
50.384270 1.656240
52.892277 1.666337
55.398613 1.610461
57.903255 1.545207
60.406246 1.542517
62.907562 1.538691
65.407196 1.359820
67.905174 1.405857
70.401482 1.351011
72.896133 1.317897
75.389107 1.426492
77.880409 1.254947
80.370064 1.270660
82.858070 1.270692
85.344383 1.373574
87.829063 1.204105
90.312088 1.127798
92.793457 1.168167
95.273163 1.084453
97.751221 1.043626
100.227631 1.185716
102.702408 1.083122
105.175499 0.921766
107.646965 1.253863
110.116791 1.100971
112.584969 1.109162
115.051521 1.005005
117.516403 0.894867
119.979660 0.881114
122.441284 0.768470
124.901268 0.789342
127.359612 0.781900
129.816315 0.743726
132.271408 0.674686
134.724854 0.696010
137.176666 0.725867
139.626862 0.613576
142.075424 0.581045
144.522369 0.521470
146.967682 0.500973
149.411392 0.452032
151.853455 0.478424
154.293900 0.413827
156.732727 0.426850
159.169968 0.404471
161.605545 0.404550
164.039520 0.376075
166.471909 0.372967
168.902664 0.354970
171.331802 0.336491
173.759354 0.324020
176.185287 0.313617
178.609589 0.306701
181.032318 0.300728
183.453445 0.297914
185.872955 0.300288
188.290878 0.298744
190.707184 0.304411
193.121902 0.315947
195.535019 0.319871
197.946548 0.324591
200.356476 0.332841
202.764801 0.347577
205.171555 0.357716
207.576691 0.370703
209.980240 0.383670
212.382233 0.402008
214.782608 0.416300
217.181396 0.432963
219.578659 0.452337
221.974258 0.472520
224.368347 0.493404
226.760803 0.518944
229.151688 0.548678
231.541031 0.579507
233.928772 0.609139
236.314941 0.644171
238.699524 0.667610
241.082550 0.685585
243.464035 0.683952
245.843903 0.670070
248.222198 0.645567
250.598969 0.606937
252.974136 0.558461
255.347748 0.510560
257.719818 0.462381
260.090332 0.421102
262.459259 0.380372
264.826630 0.349107
267.192444 0.320960
269.556732 0.297227
271.919434 0.276260
274.280579 0.260802
276.640198 0.247174
278.998230 0.234107
281.354736 0.224321
283.709656 0.215698
286.063049 0.206468
288.414978 0.198435
290.765259 0.193802
293.113983 0.188588
295.461273 0.183267
297.806946 0.176771
300.151123 0.174105
302.493683 0.170955
304.834778 0.168588
307.174316 0.165678
309.512329 0.161979
311.848816 0.151742
314.183746 0.159203
316.517151 0.157708
318.849030 0.155226
321.179382 0.155730
323.508179 0.153884
325.835480 0.152078
328.161255 0.152790
330.485504 0.153977
332.808258 0.150881
335.129486 0.149759
337.449158 0.150839
339.767303 0.151076
342.083954 0.146741
344.399078 0.146283
346.712708 0.147781
349.024872 0.145968
351.335449 0.144586
353.644531 0.145357
355.952118 0.143927
358.258179 0.142878
360.562744 0.142925
362.865845 0.141610
365.167328 0.143175
367.467407 0.141586
369.765961 0.141956
372.062988 0.140263
374.358612 0.142521
376.652618 0.142645
378.945190 0.143446
381.236267 0.143537
383.525818 0.139895
385.813904 0.141906
388.100433 0.138983
390.385590 0.137518
392.669189 0.135425
394.951294 0.136145
397.231873 0.136181
399.511047 0.135051
401.788727 0.136765
404.064911 0.133918
406.339600 0.133916
408.612823 0.133736
410.884521 0.135096
413.154755 0.137236
415.423584 0.134510
417.690826 0.134680
419.956665 0.134343
422.221069 0.131842
424.483887 0.132557
426.745331 0.132348
429.005249 0.132841
431.263702 0.134698
433.520752 0.133682
435.776276 0.134835
438.030396 0.136601
440.282959 0.134274
442.534119 0.133386
444.783844 0.132553
447.032013 0.132085
449.278778 0.132860
451.524109 0.132484
453.767914 0.133811
456.010345 0.132854
458.251282 0.133239
