alpha,l1_ratio,share_threshold,score_combined_exact,calibration_n_existing,calibration_n_pure,existing_exact,existing_micro_f1,existing_mean_predicted_labels,pure_exact,pure_micro_f1,pure_mean_predicted_labels
0.0003,0.5,0.12,0.6995833333333332,240,240,0.5708333333333333,0.8635477582846004,2.275,1.0,1.0,1.0
0.0003,0.8,0.12,0.6995833333333332,240,240,0.5708333333333333,0.8635477582846004,2.275,1.0,1.0,1.0
0.0003,0.95,0.12,0.6995833333333332,240,240,0.5708333333333333,0.8646543330087634,2.279166666666667,1.0,1.0,1.0
0.001,0.8,0.12,0.6995833333333332,240,240,0.5708333333333333,0.8646543330087634,2.279166666666667,1.0,1.0,1.0
0.001,0.95,0.12,0.6995833333333332,240,240,0.5708333333333333,0.8646543330087634,2.279166666666667,1.0,1.0,1.0
0.003,0.95,0.12,0.6995833333333332,240,240,0.5708333333333333,0.8646543330087634,2.279166666666667,1.0,1.0,1.0
0.003,0.8,0.12,0.6966666666666665,240,240,0.5666666666666667,0.8629737609329446,2.2875,1.0,1.0,1.0
0.001,0.5,0.12,0.69375,240,240,0.5625,0.8621359223300971,2.2916666666666665,1.0,1.0,1.0
0.003,0.5,0.12,0.69375,240,240,0.5625,0.8621359223300971,2.2916666666666665,1.0,1.0,1.0
0.01,0.5,0.12,0.69375,240,240,0.5625,0.8621359223300971,2.2916666666666665,1.0,1.0,1.0
0.01,0.8,0.12,0.69375,240,240,0.5625,0.8621359223300971,2.2916666666666665,1.0,1.0,1.0
0.01,0.95,0.12,0.69375,240,240,0.5625,0.8621359223300971,2.2916666666666665,1.0,1.0,1.0
0.0003,0.5,0.1,0.685,240,240,0.55,0.8759541984732825,2.3666666666666667,1.0,1.0,1.0
0.0003,0.8,0.1,0.685,240,240,0.55,0.8767908309455588,2.3625,1.0,1.0,1.0
0.0003,0.95,0.1,0.685,240,240,0.55,0.8767908309455588,2.3625,1.0,1.0,1.0
0.001,0.95,0.1,0.685,240,240,0.55,0.8767908309455588,2.3625,1.0,1.0,1.0
0.001,0.8,0.1,0.6820833333333333,240,240,0.5458333333333333,0.8751191611058151,2.370833333333333,1.0,1.0,1.0
0.001,0.5,0.1,0.6791666666666666,240,240,0.5416666666666666,0.873453853472883,2.379166666666667,1.0,1.0,1.0
0.003,0.5,0.1,0.6791666666666666,240,240,0.5416666666666666,0.873453853472883,2.379166666666667,1.0,1.0,1.0
0.003,0.8,0.1,0.6791666666666666,240,240,0.5416666666666666,0.873453853472883,2.379166666666667,1.0,1.0,1.0
0.003,0.95,0.1,0.6791666666666666,240,240,0.5416666666666666,0.8742857142857143,2.375,1.0,1.0,1.0
0.01,0.5,0.1,0.6791666666666666,240,240,0.5416666666666666,0.873453853472883,2.379166666666667,1.0,1.0,1.0
0.01,0.8,0.1,0.6791666666666666,240,240,0.5416666666666666,0.873453853472883,2.379166666666667,1.0,1.0,1.0
0.01,0.95,0.1,0.6791666666666666,240,240,0.5416666666666666,0.8742857142857143,2.375,1.0,1.0,1.0
0.0003,0.95,0.08,0.6354166666666666,240,240,0.4791666666666667,0.8694029850746269,2.466666666666667,1.0,1.0,1.0
0.001,0.95,0.08,0.6354166666666666,240,240,0.4791666666666667,0.8694029850746269,2.466666666666667,1.0,1.0,1.0
0.0003,0.8,0.08,0.6325,240,240,0.475,0.8685927306616962,2.470833333333333,1.0,1.0,1.0
0.0003,0.5,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8677839851024208,2.475,1.0,1.0,1.0
0.001,0.5,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8661710037174721,2.4833333333333334,1.0,1.0,1.0
0.001,0.8,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8677839851024208,2.475,1.0,1.0,1.0
0.003,0.5,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8669767441860465,2.4791666666666665,1.0,1.0,1.0
0.003,0.8,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8661710037174721,2.4833333333333334,1.0,1.0,1.0
0.003,0.95,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8677839851024208,2.475,1.0,1.0,1.0
0.01,0.5,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8653667595171773,2.4875,1.0,1.0,1.0
0.01,0.8,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8653667595171773,2.4875,1.0,1.0,1.0
0.01,0.95,0.08,0.6295833333333333,240,240,0.4708333333333333,0.8661710037174721,2.4833333333333334,1.0,1.0,1.0
0.0003,0.5,0.05,0.605,240,240,0.4375,0.8644222020018199,2.5791666666666666,0.9958333333333333,0.997920997920998,1.0041666666666667
0.0003,0.8,0.05,0.605,240,240,0.4375,0.8652094717668488,2.575,0.9958333333333333,0.997920997920998,1.0041666666666667
0.0003,0.95,0.05,0.605,240,240,0.4375,0.8652094717668488,2.575,0.9958333333333333,0.997920997920998,1.0041666666666667
0.001,0.5,0.05,0.605,240,240,0.4375,0.8628519527702089,2.5875,0.9958333333333333,0.997920997920998,1.0041666666666667
0.001,0.8,0.05,0.605,240,240,0.4375,0.8628519527702089,2.5875,0.9958333333333333,0.997920997920998,1.0041666666666667
0.001,0.95,0.05,0.605,240,240,0.4375,0.8644222020018199,2.5791666666666666,0.9958333333333333,0.997920997920998,1.0041666666666667
0.003,0.5,0.05,0.605,240,240,0.4375,0.8620689655172413,2.591666666666667,0.9958333333333333,0.997920997920998,1.0041666666666667
0.003,0.8,0.05,0.605,240,240,0.4375,0.8628519527702089,2.5875,0.9958333333333333,0.997920997920998,1.0041666666666667
0.003,0.95,0.05,0.605,240,240,0.4375,0.8644222020018199,2.5791666666666666,0.9958333333333333,0.997920997920998,1.0041666666666667
0.01,0.5,0.05,0.60375,240,240,0.4375,0.8628519527702089,2.5875,0.9916666666666667,0.995850622406639,1.0083333333333333
0.01,0.8,0.05,0.60375,240,240,0.4375,0.8636363636363636,2.5833333333333335,0.9916666666666667,0.995850622406639,1.0083333333333333
0.01,0.95,0.05,0.60375,240,240,0.4375,0.8628519527702089,2.5875,0.9916666666666667,0.995850622406639,1.0083333333333333
