compound_a,compound_b,mean_cosine_similarity,mean_euclidean_distance,nearest_atom_distance,mean_atom_distance
1-dodecanethiol,1-undecanethiol,0.9979995238393745,341.921864822964,240.00613317271598,351.2443602130811
1-undecanethiol,6-mercapto-1-hexanol,0.9084401038820628,1148.2251267859065,973.886552153272,1175.2305968558137
1-dodecanethiol,6-mercapto-1-hexanol,0.8982299909838474,1458.3773961205147,1045.401791847986,1478.0149408560148
6-mercapto-1-hexanol,tris(2-ethylhexyl) phosphate,0.5825554165107655,1614.1783057407458,1130.6242222312533,1634.2711128315646
diethylamine,tris(2-ethylhexyl) phosphate,0.642155502286501,1571.0241578208336,1272.2481403854529,1642.43131172039
1-undecanethiol,tris(2-ethylhexyl) phosphate,0.7356192453987156,1466.6128953152333,1352.664634848866,1474.31649874537
meoh,tris(2-ethylhexyl) phosphate,0.4582359952094584,1829.8648097834043,1395.3304088786956,1835.172196621171
6-mercapto-1-hexanol,diethylamine,0.49529179884730945,1472.4132480202998,1422.5538954264393,1558.050182814077
6-mercapto-1-hexanol,meoh,0.22425889636332,1568.4334887614214,1486.9656994028169,1581.0792696927479
1-dodecanethiol,tris(2-ethylhexyl) phosphate,0.7372216412973494,1612.4460122496844,1598.0918913185128,1619.022624002726
diethylamine,meoh,0.3527593052824738,1756.6961267381703,1667.5667273904994,1818.046085162848
1-undecanethiol,diethylamine,0.5221091835020757,1844.9343408996276,1776.1990680440492,1903.1622849380547
1-dodecanethiol,diethylamine,0.515834438321552,2070.1523521108115,2026.8864269950234,2122.0833816005975
1-undecanethiol,meoh,0.2753701365319109,2136.2357270160546,2049.578774570327,2138.818027269684
1-dodecanethiol,meoh,0.2778579759071415,2383.9013854219893,2334.061793471405,2386.1411163854973
benzenethiol,meoh,0.1633184493120032,3319.7528503651242,3282.919547561618,3321.79491166353
6-mercapto-1-hexanol,benzenethiol,0.09258407912547026,3330.0772488464972,3301.2889676313102,3338.798213090787
benzenethiol,diethylamine,0.15849114354384958,3407.9546515818133,3378.3700093691077,3440.200495257601
benzenethiol,tris(2-ethylhexyl) phosphate,0.08706398928122373,3656.218696566395,3396.3639579331534,3659.181895912197
1-undecanethiol,benzenethiol,0.07790108006637972,3701.8786132839514,3656.7836969785585,3703.3074071633064
1-dodecanethiol,benzenethiol,0.08219300018091233,3854.3692590095416,3822.5339865135375,3855.5729001613818
meoh,pyridine,0.4197749614110079,4950.334023677172,4893.870954924248,4951.71663461781
6-mercapto-1-hexanol,pyridine,0.07669189890791699,5398.817870652559,5355.673217003903,5404.75781655377
pyridine,tris(2-ethylhexyl) phosphate,0.10882779207549195,5520.072486266057,5358.927659342572,5522.208408585367
diethylamine,pyridine,0.11791336358698137,5433.224731733419,5379.182241492061,5453.541645244063
benzenethiol,pyridine,0.2836479697504717,5432.021403670553,5387.535193060069,5433.147405149118
1-undecanethiol,pyridine,0.059404709269069496,5633.340451020893,5580.908956544984,5634.327779038786
1-dodecanethiol,pyridine,0.061204483379266254,5732.860122116415,5689.233935152319,5733.684888300364
