model,evaluation_subset,metric,mean,sd,ci95_half_width,n_independent_units
Classical,field_quality_stress,balanced_accuracy,0.4778571428571428,0.1447837459156955,0.1797727648286004,5
Contrastive successor,field_quality_stress,balanced_accuracy,0.43,0.0778730677297395,0.0966921846297009,5
Random forest,field_quality_stress,balanced_accuracy,0.38719576719576715,0.17509626541989173,0.15347864361740768,5
Siamese,field_quality_stress,balanced_accuracy,0.3704497354497355,0.1132084120762313,0.1405668095688727,5
Classical,field_quality_stress,macro_f1,0.3974671527303106,0.1003393655840035,0.124587777848263,5
Contrastive successor,field_quality_stress,macro_f1,0.3666644469235505,0.0595063776100718,0.0738869267419447,5
Random forest,field_quality_stress,macro_f1,0.32679077003367585,0.16196779838457076,0.14197103488272128,5
Siamese,field_quality_stress,macro_f1,0.3498457935362697,0.0968651015498714,0.120273909276827,5
Classical,quality_pass,balanced_accuracy,0.7449411155115634,0.0693558127961484,0.0861166158151375,5
Contrastive successor,quality_pass,balanced_accuracy,0.7306640034018261,0.0468852327046844,0.0582157054968123,5
Random forest,quality_pass,balanced_accuracy,0.742126349762015,0.05161838414249058,0.045245508605872,5
Siamese,quality_pass,balanced_accuracy,0.6766688629315305,0.0392117782421107,0.0486878533487785,5
Classical,quality_pass,macro_f1,0.7196395572888103,0.0669419175510573,0.0831193689938726,5
Contrastive successor,quality_pass,macro_f1,0.7116818982461239,0.0430011433006306,0.053392971517994,5
Random forest,quality_pass,macro_f1,0.7241917168159782,0.045312284733834966,0.03971796876122693,5
Siamese,quality_pass,macro_f1,0.6494893175252211,0.0463823328536106,0.0575912728570319,5
Classical,strict_core,balanced_accuracy,0.6854684585328588,0.0535458343644466,0.0664859347841153,5
Contrastive successor,strict_core,balanced_accuracy,0.7013728936664536,0.0483257037644305,0.0600042865521535,5
Random forest,strict_core,balanced_accuracy,0.6903764546206521,0.047182479467624085,0.04135726672314545,5
Siamese,strict_core,balanced_accuracy,0.6320941608547035,0.0574526064398143,0.0713368330192872,5
Classical,strict_core,macro_f1,0.6760432385204974,0.0524867774856721,0.0651709419856909,5
Contrastive successor,strict_core,macro_f1,0.6930672777730499,0.0549015922667693,0.0681693305617097,5
Random forest,strict_core,macro_f1,0.6820929464686674,0.0525724689654364,0.04608180082587182,5
Siamese,strict_core,macro_f1,0.6198134729566951,0.0588736053814478,0.0731012362465992,5
