candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1304843303,355,124,41,16,pass,,124,124,0,0.652878762841169,0.6591369439212041,0.6854838709677419,0.8705203334754962,0.3912431899642417,0.17432795698977635
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1366795036,355,124,41,16,pass,,124,124,0,0.6709688598786343,0.6810218043667521,0.7016129032258065,0.852039074922811,0.38642741935494024,0.1418279569898455
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,1599572049,355,124,41,16,pass,,124,124,0,0.6972525177412395,0.7090140918348765,0.717741935483871,0.8559972821310463,0.3857912248643518,0.14340023428464355
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,364127738,355,124,41,16,pass,,124,124,0,0.6886693611317671,0.6960019631864816,0.717741935483871,0.8638506800305864,0.38887336476331663,0.169299176195048
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,1069763691,355,124,41,16,pass,,124,124,0,0.6495462557492633,0.6597205343846974,0.6774193548387096,0.8911288489410104,0.4002181200756836,0.19275551251451076
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,4,1490305197,355,124,41,16,pass,,124,124,0,0.6947743672367732,0.7050180066091939,0.717741935483871,0.8808562509035079,0.39760483768314364,0.15816858256562172
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1563356706,355,124,41,16,pass,,124,124,0,0.67515514977921,0.6874681303252732,0.7016129032258065,0.8649167412608946,0.3925032959498693,0.15588076159755268
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,4,1226545292,355,124,41,16,pass,,124,124,0,0.6805911298392502,0.6915865387003918,0.7096774193548387,0.8659356108678513,0.39080661261178185,0.18128245498471904
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,820475304,355,124,41,16,pass,,124,124,0,0.6858457958082018,0.6988183988223854,0.7096774193548387,0.8755640198852821,0.3960111226444499,0.1543158448628852
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,4,579947913,355,124,41,16,pass,,124,124,0,0.7076861108815997,0.7171998591108802,0.7338709677419355,0.8610694224617691,0.3906481815803268,0.16673532343127992
