configuration,representation,curriculum,run_seed,epoch,train_loss,validation_loss
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,1,0.0819264281427596,0.059447355378987425
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,2,0.059352710162008236,0.04942905265143362
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,3,0.04709913412372161,0.03994325876741086
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,4,0.039011735737406315,0.03492574785220421
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,5,0.03531657165520079,0.033671590799497345
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,6,0.03462991954299552,0.033231068781371845
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,7,0.03400098302316468,0.03252012074246245
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,8,0.033344956202602784,0.03198916963854079
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,9,0.03278132137994687,0.03131418801465277
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,10,0.03205245148153186,0.030391487119308974
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,11,0.031116038442194627,0.029028497446896666
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,12,0.029802432201204206,0.027236473825523407
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,13,0.028044935532554036,0.025100985257807424
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,14,0.026068284008600374,0.023001773156604524
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,15,0.024136001409297173,0.02125457273322647
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,16,0.022545106760600266,0.01993738111676806
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,17,0.021231729826190794,0.01885974006253784
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,18,0.020162323278238237,0.017967010264174414
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,19,0.01930589965671053,0.017289382516074987
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,20,0.01855047361878807,0.016385980960676224
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,21,0.01714788286216619,0.013727863492854571
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,22,0.013994149961753896,0.01149576349910033
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,23,0.01191125231745996,0.010308760549809974
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,24,0.010672202465379832,0.009299935883510921
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,25,0.009822817042036565,0.008821280830997532
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,26,0.009135990883443,0.008171353189243098
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,27,0.008676781479031921,0.008125796645753464
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,28,0.008444613921572131,0.007518840448583587
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,29,0.007964224771304968,0.0072894011845149225
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,30,0.0076501884386768965,0.006992797903969126
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,31,0.007389011730922391,0.006796689380465423
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,32,0.007151980386463889,0.006577940152610763
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,33,0.006983636910678855,0.006455993027252666
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,34,0.00681789350048368,0.006320195319920273
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,35,0.00669672496622,0.006351435596470611
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,36,0.006636769986786258,0.006157739514137729
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,37,0.006522989407481001,0.006083831443624981
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,38,0.006440854320493514,0.006071342928808624
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,39,0.006325365732994106,0.0059207480763858655
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,40,0.006265202086996751,0.005919757046563141
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,41,0.006209935840745547,0.0058541520325056575
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,42,0.006164275665723634,0.005791436675620281
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,43,0.0061690593564010885,0.005735402705810837
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,44,0.006083138962985736,0.0058635364333956925
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,45,0.006098405630882427,0.00584966911918531
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,46,0.005976533224429533,0.005603673749492835
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,47,0.005889235010210662,0.005723197660329989
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,48,0.005860854746448779,0.005588875633617074
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,49,0.005827026520378455,0.005618629669297045
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,50,0.005759485076256406,0.00554896499645912
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,51,0.005697488209485512,0.005485500343207081
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,52,0.005665558671522008,0.005474606820903087
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,53,0.005626781923577726,0.005434878265201035
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,54,0.005598032977328819,0.005420484548529326
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,55,0.005562570966377731,0.005357081670377214
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,56,0.005525766993122088,0.005355412835034274
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,57,0.005473590582361512,0.005324574747770015
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,58,0.005442879883794325,0.005296528284138037
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,59,0.005475998772282432,0.0053290474638974265
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,60,0.00542529555388476,0.0052855399326752804
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,61,0.005423916379954676,0.005348073571162708
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,62,0.005370597561455004,0.0052955401745640625
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,63,0.005365505911296342,0.0052853066837257245
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,64,0.005341847410420384,0.005266605994774629
c16x32_z16_mse_clean,minimal_minmax,clean,116911854,65,0.005305038076255295,0.005229057799393343
