configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,1,0.0,0.07934387200912893,0.07934387200912893,26.502960647178803,0.01891717390947809,0.18158793390387357,0.0721370130777359,153.3407323856165,0.1094509153359147
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,2,0.08,0.07324568172361677,0.0659275645550513,128.15855099507516,0.09147648179519997,0.11852902129735096,0.058973657465217134,83.43706640866723,0.05955536503116862
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,3,0.16,0.061296852885295225,0.054070157720553166,63.27875473325616,0.04516684848911931,0.08036816238176704,0.047857078769714526,45.54802900257677,0.03251108422739241
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,4,0.24,0.05083792856493533,0.0443445003486627,37.905384164772286,0.027055948725747528,0.06487360788453923,0.04080325652762215,33.722560429337,0.024070350056628838
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,5,0.32,0.04676257493282786,0.04075911283394359,26.283906469281934,0.018760818322114157,0.053702785200116655,0.039648676493970476,19.689808779423778,0.014054110477818543
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,6,0.4,0.04388985807532506,0.039777881657050936,14.402195861007993,0.010279939943617412,0.04622716932456092,0.040016988421430685,8.700465381735622,0.006210182285321643
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,7,0.48,0.042049662092860964,0.039189788235339106,8.347257513084159,0.005958071030038658,0.04445274889764219,0.03859014030877907,8.21351449796469,0.00586260849248015
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,8,0.56,0.04059297929437745,0.03743356194914572,7.904184897214372,0.005641816486234384,0.0428558305864877,0.036491960619050676,8.915781040002804,0.006363869407568026
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,9,0.64,0.039104472574414004,0.03502339541616029,8.933732279089114,0.006376682568942979,0.04151629365169176,0.034204372896416355,10.244001737915644,0.007311921297584329
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,10,0.72,0.038145421504579634,0.03301757921939654,9.977926784793272,0.0071220034152700016,0.03928284631064623,0.03276274305316481,9.134664044521823,0.006520102815504514
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,11,0.8,0.03667333862738104,0.03096974299394137,9.988422583270546,0.007129495063005386,0.03805998082060625,0.031775100931230156,8.805119146214853,0.006284881617569489
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,12,0.88,0.03556409897591105,0.02952715108134099,9.611095043207635,0.006860167768171046,0.03696656112771223,0.03116423479917616,8.129059055063983,0.005802326234877932
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,13,0.96,0.034742239689984855,0.028904153182115776,8.519957978204387,0.006081340455534894,0.03563981636030839,0.030193625479051384,7.630112855741293,0.005446190475190074
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,14,1.0,0.03445629736050865,0.028901890179278047,7.781723894030843,0.005554406776610166,0.0348138357005497,0.02905764567232368,8.064421908690198,0.00575618979920785
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,15,1.0,0.03294497829498045,0.02709180268378842,8.200299812468472,0.005853176168785491,0.0342006989487327,0.029162753059869945,7.058164228307138,0.005037947343545423
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,16,1.0,0.032754800078884656,0.027369549362272615,7.544736988497096,0.0053852512408972845,0.033680733403947095,0.028400103054424322,7.39816411178891,0.005280631057665175
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,17,1.0,0.0317561130304605,0.026193137126450508,7.7937291947421645,0.00556297587062253,0.03295202627040372,0.027477362331482444,7.670005359271966,0.005474664781778705
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,18,1.0,0.031291515473893146,0.025696805585792522,7.8381888598006295,0.005594710106924076,0.03190081061260535,0.02627806966700176,7.877461641141684,0.0056227420707649425
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,19,1.0,0.030476372923381283,0.02492506679961618,7.777379335946595,0.005551305735864807,0.031306087823197395,0.026120115458817764,7.265548366131169,0.005185973137852369
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,20,1.0,0.029414672083807308,0.02412416697140561,7.4119975140552645,0.00529050500646343,0.03042973312410978,0.02512495374620551,7.431997303915496,0.005304780373958241
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,21,1.0,0.029044148098948775,0.02359177412724258,7.638775970762139,0.005452373997688893,0.029812304727216757,0.02433612885525321,7.672122299081028,0.005476175802341918
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,22,1.0,0.02858390122504029,0.022843109579473143,8.042849888075267,0.005740792211331383,0.029441797755437323,0.023304417969124153,8.598469668095655,0.006137380205635728
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,23,1.0,0.027779687159010115,0.021757104834973416,8.437637938568924,0.006022582397265471,0.028859787131890212,0.023420798583048404,7.620023604666833,0.005438989011182607
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,24,1.0,0.027010783750489847,0.021554005338458825,7.644946373061629,0.005456778281985459,0.02819191878384883,0.02264252764237399,7.774697841984211,0.005549391750167174
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,25,1.0,0.027062657628430437,0.021254164296270205,8.13769879877962,0.005808493075502941,0.02760180797759849,0.021372770079144156,8.726883019551192,0.006229038557852385
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,26,0.0,0.019002562006380383,0.019002562006380383,10.767709087851822,0.0076857309692018715,0.030091871092520137,0.01846057525144355,16.29544468681411,0.01163129527966746
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,27,0.08,0.017779131697503146,0.016588775027814685,20.846115428090886,0.01487945426701705,0.03681032245259474,0.016732298169690785,28.129311703219273,0.020078024056544807
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,28,0.16,0.01856071464964096,0.015224912709599693,29.2091199735932,0.020848765148888795,0.0368541485749849,0.01578022412365616,29.524569086509175,0.02107392511528135
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,29,0.24,0.019525580909966634,0.014769985204846259,27.760789605955413,0.01981498187434362,0.03284790964409857,0.015675091304548895,24.059118497489703,0.01717281834224818
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,30,0.32,0.019702496697867153,0.014818195204269018,21.384084208911617,0.01526344340393406,0.028974916730629335,0.01624034551700743,17.841134911716573,0.012734571671460795
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,31,0.4,0.02024773516945097,0.01561851224658505,16.213852838175185,0.011573056986563302,0.027361489721749087,0.016873510333128495,14.69365940471687,0.010487979589376781
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,32,0.48,0.02070225014147774,0.01590938193859249,13.989184891151277,0.009985142677481284,0.02684459838979315,0.017126218756974333,13.615449489933429,0.009718379364691955
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,33,0.56,0.021292922500249566,0.01606799622639915,13.07164604616481,0.00933022558612763,0.02620124300517658,0.017174467370651737,12.646511228957978,0.00902677461024838
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,34,0.64,0.021485149144928977,0.015802543844706966,12.439578447910334,0.008879070983519153,0.025947660392168725,0.017016219454679158,12.512948546079127,0.008931440789492595
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,35,0.72,0.022255518862249836,0.01598190162207512,12.207413439719092,0.008713357201798068,0.0256893742682025,0.017404491192486028,11.607120353396576,0.008284882479226678
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,36,0.8,0.02278214744878131,0.016558147029371452,10.899781056587269,0.007780000754166501,0.025565114905043405,0.018115487263196766,10.436928890719273,0.007449628044767504
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,37,0.88,0.023373756816746385,0.017037230438941363,10.088038507676282,0.007200598506549809,0.025166036524247416,0.018051210993734915,9.967870315702834,0.007114825350251845
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,38,0.96,0.023499248537006755,0.01685983088138877,9.689400609755358,0.006916060392402112,0.024846887068435696,0.018023254183849487,9.55990990553752,0.006823633051775532
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,39,1.0,0.023483181705340646,0.016879138962322512,9.252264269140383,0.006604043018658375,0.025291197536752956,0.018969748113857637,8.856350388857397,0.006321449242582011
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,40,1.0,0.023521782571314185,0.017133887696838535,8.949441101377374,0.006387895147307191,0.02491264034173276,0.01821095658705966,9.389058519117903,0.006701683454045613
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,41,1.0,0.02318081800017925,0.016829132404647125,8.89871182978548,0.006351685817120257,0.024526485122076357,0.018302010482933263,8.720488963740888,0.00622447463507558
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,42,1.0,0.023530069985334447,0.016927530557311922,9.250157735205644,0.006602539425557204,0.024835155188742252,0.017676119960033067,10.02980887535775,0.0071590355998270875
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,43,1.0,0.023087786177530982,0.01628386437744889,9.532294652319901,0.006803921950264026,0.02434121371053233,0.01819622168077691,8.609134995111145,0.00614499285875171
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,44,1.0,0.023524201049512587,0.017367680982643404,8.62528454862683,0.006156520020433141,0.02435431681057014,0.01767692801607127,9.3550227986704,0.006677389577923199
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,45,1.0,0.023549594083763906,0.016723537028131896,9.56330626531942,0.006826057291448551,0.024405070165596385,0.01746079939795603,9.728922872260066,0.006944270429878705
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,46,1.0,0.02271362735785001,0.016079828278809195,9.29395291031591,0.006633799364964961,0.0241617914842497,0.017956103410313624,8.694169516610627,0.0062056884486871
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,47,1.0,0.022963525184633717,0.016891177170077303,8.507360009957623,0.006072348329734206,0.02397826907805877,0.017620015704985892,8.90791387841253,0.006358254017425074
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,48,1.0,0.023557987298495724,0.017038225572531585,9.134186365746505,0.00651976185991899,0.023947993311846612,0.01701462698528672,9.713645387404036,0.006933365729767335
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,49,1.0,0.02231134069676431,0.015673447147455832,9.299688339233398,0.006637893175755459,0.02390319879839916,0.017699552626155392,8.691307889352931,0.006203645888189101
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,50,1.0,0.022797137017775054,0.016680893408048233,8.568857799302663,0.006116243968096119,0.023736919248753256,0.0171419535348616,9.239546615298432,0.006594965464167332
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,51,0.0,0.015330271511677875,0.015330271511677875,11.28634730711678,0.00805592241764224,0.02760696449861078,0.014900578674629773,17.80164656308618,0.012706385840889494
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,52,0.08,0.014545163170539386,0.013213576637948586,23.319411561978573,0.016644833377572145,0.03551397878344696,0.013125782399115587,31.36586308243251,0.022388196347203793
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,53,0.16,0.015436749300913306,0.01187766163258363,31.164262998972507,0.022244299071357963,0.03306035881880486,0.012975158252854748,28.139365621132427,0.020085200300594165
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,54,0.24,0.016327265144282618,0.011963429015795916,25.473895180304318,0.018182651806070177,0.029470251854693534,0.013154801193366546,22.857947982183777,0.01631545180741169
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,55,0.32,0.017094018690238726,0.012243175755766843,21.237596360263446,0.015158883911679832,0.02719095743971296,0.01388097480677142,18.647284309462744,0.013309981662714307
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,56,0.4,0.017319531445175607,0.012617228194972538,16.4698167763009,0.011755757870307566,0.0247863338946706,0.014862391885628205,13.903443185409698,0.009923942316495144
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,57,0.48,0.01811206777462896,0.013644032007613719,13.041079483284856,0.009308407910981338,0.024440139698067513,0.01527332016589618,12.842714026422783,0.009166819433563728
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,58,0.56,0.018841257775264072,0.013851225511818532,12.483992450284642,0.008910772626898388,0.023992039447668756,0.014995728379650282,12.60383165944921,0.00899631096320429
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,59,0.64,0.019500434065595366,0.013819109093373185,12.436775087520775,0.008877070012505907,0.02386747979291595,0.01502654730056477,12.386146167717358,0.008840932311004539
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,60,0.72,0.01986147321464605,0.013802478299630399,11.78979365873021,0.008415270277466245,0.023414297877709465,0.015499156724550937,11.08911386810907,0.007915141947258437
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,61,0.8,0.020394454148924903,0.014349534022097555,10.586166426046006,0.00755615019703498,0.023116980467249852,0.015871747387665332,10.150571539850517,0.007245233076267322
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,62,0.88,0.020813875196390594,0.014632761330399292,9.840614028324355,0.0070239928824584975,0.023011529855061285,0.015965243819916604,9.871846189593324,0.007046285645676891
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,63,0.96,0.021176783972425967,0.014605187989820708,9.59042325556673,0.006845412744872755,0.022892505244010746,0.01643720285801014,9.043878583624812,0.006455302343772171
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,64,1.0,0.021604694956481853,0.015412560374235475,8.6751805236008,0.006192134563598001,0.023079502350180456,0.016848938650276403,8.729020326444418,0.006230564115948907
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,65,1.0,0.02140906322377407,0.015116627543967292,8.815702924665237,0.006292436063287107,0.02313492448982036,0.016476051217996248,9.329082810052551,0.006658874239866204
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,66,1.0,0.022025855295113382,0.015294018306380866,9.431303700074455,0.006731837045021024,0.02302352538203249,0.016205818161810978,9.551608472767443,0.006817707689341501
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,67,1.0,0.02163457732326937,0.015040742264234073,9.237962735409768,0.006593834928914895,0.022954273028391422,0.01643395639660925,9.134963432160935,0.006520316511178398
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,68,1.0,0.02170495167127903,0.015266683495399967,9.02001358183804,0.006438268081254846,0.02286639130941712,0.01624926293988039,9.270597457885742,0.006617128806485183
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,69,1.0,0.02136305429732168,0.014677209569918399,9.366868467520405,0.0066858447305641715,0.022687605148789907,0.01590194294948389,9.506712535820386,0.00678566205269121
c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,cyclical_4,1177679387,70,1.0,0.021311983762197936,0.01497713794055956,8.87511852087564,0.0063348454824237255,0.022438177617617173,0.016283846414177724,8.622217744883924,0.00615433100991001
