configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,1,0.0,0.08740774735561392,0.08740774735561392,13.16692319364179,0.00939823211537601,0.12045326528428983,0.08830071015267812,45.04572953296309,0.03215255498427058
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,2,0.08,0.0835668351604135,0.0810585033086782,43.9271566275075,0.031354144630626336,0.10638459364907081,0.08477664450887873,30.272736525335233,0.02160794898310866
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,3,0.16,0.0795948360094708,0.07711339795457724,21.728100407848043,0.015508993867129225,0.08723951199976336,0.0780513745521297,12.872583076733502,0.009188139241066026
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,4,0.24,0.07060969283402954,0.06799842396658429,15.243284004169274,0.010880288368429174,0.08409173004016154,0.061347320801069756,31.864917658958113,0.02274440946392442
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,5,0.32,0.05794007287911289,0.04890191694978851,39.57017694125518,0.02824423764543553,0.07023625113383061,0.04127321645867925,40.577210017613005,0.028963033560037835
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,6,0.4,0.0451307764575297,0.03689623037507521,28.84149469196467,0.02058636309205187,0.05066641000639491,0.03599220501775501,20.55856302405606,0.014674206298398329
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,7,0.48,0.03877265922190076,0.034288411826224614,13.0883986699647,0.00934218320482848,0.042505597147871464,0.03536401773575975,10.00535279762845,0.007141579441562063
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,8,0.56,0.0364564356512457,0.033069693313613126,8.472904964046583,0.006047755149212407,0.039754751944491844,0.03515621255926725,6.442553532223742,0.00459853928067362
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,9,0.64,0.03575573392335881,0.03313090409363172,5.7459169514271435,0.004101296896093607,0.03858789278804755,0.03505347443728888,4.9517185788194675,0.0035344172582580068
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,10,0.72,0.03560546946130405,0.033538126381556635,4.02270559316182,0.002871310202114076,0.03787473251088327,0.03476000621038325,4.363732999112425,0.003114727336982459
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,638235034,11,0.8,0.03496407289366696,0.03248259777110585,4.345683315182259,0.0031018439080530043,0.03722986112497434,0.03435767492075928,4.023934644811294,0.0028721874695298313
