stage,training_subset,evaluation_subset,outer_fold,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,same_master_cross_instrument_attribution_jaccard,same_analyte_different_master_attribution_jaccard,n_same_master_attribution_pairs,n_same_analyte_different_master_attribution_pairs
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,0.22075966802594366,0.2571569615438545,476,471
outer,quality_pass,quality_pass,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,1718384154,70,0.7458733687003581,0.20056167456597895,0.22635756328055207,363,403
outer,quality_pass,field_quality_stress,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,1718384154,70,0.7458733687003581,,0.10589735186086806,0,6
outer,strict_core,strict_core,1,full_domain_aware,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,minimal_minmax,legacy,64,1729,635581811,66,0.7856581886099233,0.19417149508366258,0.2193062596327851,558,304
outer,quality_pass,quality_pass,1,full_domain_aware,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,minimal_minmax,legacy,64,1729,711593015,66,0.7313059047531547,0.24532833634319565,0.23091793218915221,403,275
outer,quality_pass,field_quality_stress,1,full_domain_aware,full_domain_aware__minimal_minmax__legacy64__051dfe345fd2,minimal_minmax,legacy,64,1729,711593015,66,0.7313059047531547,0.15559073865880257,,8,0
outer,strict_core,strict_core,2,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,minimal_minmax,legacy,32,1729,1034939813,72,0.7849390324234737,0.14749407700608175,0.1987538972368451,437,492
outer,quality_pass,quality_pass,2,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,minimal_minmax,legacy,32,1729,1198384017,72,0.6738053605431427,0.15986296924609314,0.1972800770943763,283,381
outer,quality_pass,field_quality_stress,2,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__b3af07d3bce0,minimal_minmax,legacy,32,1729,1198384017,72,0.6738053605431427,0.13090889833396882,0.12601356368092706,14,14
outer,strict_core,strict_core,3,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,minimal_minmax,legacy,32,1729,1192268441,66,0.7649583284870406,0.15068852266786673,0.2388684285896685,572,303
outer,quality_pass,quality_pass,3,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,minimal_minmax,legacy,32,1729,1701971168,66,0.7117630673716475,0.16692120808027042,0.23363642664682266,379,259
outer,quality_pass,field_quality_stress,3,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__7c6a92f7ab2d,minimal_minmax,legacy,32,1729,1701971168,66,0.7117630673716475,0.05965926707891257,,8,0
outer,strict_core,strict_core,4,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,minimal_minmax,legacy,32,1729,312487641,72,0.784433679114227,0.19236761195791505,0.24179389995338652,430,565
outer,quality_pass,quality_pass,4,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,minimal_minmax,legacy,32,1729,1688324410,72,0.674654549675511,0.2203590947567037,0.2581471002622521,241,429
outer,quality_pass,field_quality_stress,4,full_domain_aware,full_domain_aware__minimal_minmax__legacy32__0a620682d4c2,minimal_minmax,legacy,32,1729,1688324410,72,0.674654549675511,0.1009868085683092,0.1254021103234277,25,19
