stage,training_subset,outer_fold,variant,candidate_id,declared_seed,run_seed,epochs,temperature,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
outer,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,1729,839585427,70,0.8214659729062531,full_domain_aware,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,c9428db135a618529f3f6b77a3ad843fb5eeab61b6f588863c5120f0e5c2c63d
outer,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,2718,713018678,70,0.8214659729062531,full_domain_aware,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,3963a96dbde1bb536d15958dab3845f160ced105347fbdca3caea61cdbe31ddd
outer,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,3141,1055240366,70,0.8214659729062531,full_domain_aware,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,d2097cb63c34ec7e823259552489e02db8e5e320d5b009e87b80442d959e8f10
outer,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,1729,142000702,70,1.0,cross_entropy_only,arpls_minmax,legacy,32,1.0,0.0,0.0,0.1,0.2,False,False,False,361152,231,361383,bd91587bd1f31c00748f226842b58e3411ecac7a27cf77db8882fdd47260857c
outer,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,2718,928104089,70,1.0,cross_entropy_only,arpls_minmax,legacy,32,1.0,0.0,0.0,0.1,0.2,False,False,False,361152,231,361383,05dfb7cb5f12297d9116c002ae6747bf6d4c921af57c29f38c65b07e0935ad18
outer,strict_core,0,cross_entropy_only,cross_entropy_only__arpls_minmax__legacy32__1ce34d27141c,3141,1053004972,70,1.0,cross_entropy_only,arpls_minmax,legacy,32,1.0,0.0,0.0,0.1,0.2,False,False,False,361152,231,361383,754b94004e328247331bc499f8cce317a06255921912d18e36844229cee5550e
outer,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,1729,2119173188,70,1.0,supervised_contrastive_only,arpls_minmax,legacy,32,0.0,1.0,0.0,0.1,0.2,False,False,False,361152,231,361383,84f02c01260c8e1b90aecc58827a746bd51019bcf04f78cd2781fcfaf87b99e5
outer,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,2718,1682837152,70,1.0,supervised_contrastive_only,arpls_minmax,legacy,32,0.0,1.0,0.0,0.1,0.2,False,False,False,361152,231,361383,4810c3e35aaec7bb5894557ceaba88ed6f0fe9e30eb243d0ca26692310c8d616
outer,strict_core,0,supervised_contrastive_only,supervised_contrastive_only__arpls_minmax__legacy32__809317046e24,3141,101234752,70,1.0,supervised_contrastive_only,arpls_minmax,legacy,32,0.0,1.0,0.0,0.1,0.2,False,False,False,361152,231,361383,f2377267edfc9d4185e39fdd8391d911d8a36099d46fe2d1715ccbc0adcfd7e8
outer,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,1729,1853933850,70,1.0,ce_plus_supervised_contrastive,arpls_minmax,legacy,32,1.0,0.5,0.0,0.1,0.2,False,False,False,361152,231,361383,85ed676242e84c347dce9b127eee58b8c9bd2678a2b973dcb24d25cd29d331a0
outer,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,2718,699380057,70,1.0,ce_plus_supervised_contrastive,arpls_minmax,legacy,32,1.0,0.5,0.0,0.1,0.2,False,False,False,361152,231,361383,d187e826ea813235074da078072dd5bf08b20f8519920b89995f5179b61a6c60
outer,strict_core,0,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__arpls_minmax__legacy32__7367f3fcfe1d,3141,545056204,70,1.0,ce_plus_supervised_contrastive,arpls_minmax,legacy,32,1.0,0.5,0.0,0.1,0.2,False,False,False,361152,231,361383,06ceca15e5cfe57706ec482339150f759b35f2e1237ee8519ce384856f2e43b8
outer,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,1729,488459554,70,1.0,random_positive_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,False,True,True,361152,231,361383,9c89575580e8c9fe7ec467e181de023dd9e5b1e3495af6efcecd49f861910739
outer,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,2718,1740568600,70,1.0,random_positive_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,False,True,True,361152,231,361383,72a03b437a66b612c45b24fe6f0de03b25dfa1c07cf71a432c595a46dfc6fd76
outer,strict_core,0,random_positive_ablation,random_positive_ablation__arpls_minmax__legacy32__1ffbc9e98568,3141,183884624,70,1.0,random_positive_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,False,True,True,361152,231,361383,4b2528f99efcf36f42309d60bdb1ddb6f3c30c6bd24688c0ebe63f91b984a3bd
outer,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,1729,378031161,70,1.0,ordinary_negative_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,False,True,361152,231,361383,9b28cabd170a554f945e57e674e50a963a7cbbed7a4b38925fdcdc4ce13c0811
outer,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,2718,1996773978,70,1.0,ordinary_negative_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,False,True,361152,231,361383,eb394b9da1f6e60dc9bd9a57bb603d63d5b0bd160d054d49214e99dc0db20d31
outer,strict_core,0,ordinary_negative_ablation,ordinary_negative_ablation__arpls_minmax__legacy32__c46f0b8f7ae3,3141,68204124,70,1.0,ordinary_negative_ablation,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,False,True,361152,231,361383,8a72f0b10485efcf808eb9ff7a07b65b230e920320fa19e06f221f5041f2ca81
outer,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,1729,672425814,70,1.0,no_domain_balanced_batches,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,False,361152,231,361383,ff141478edebc13ceb1dae2ef8eb348c607fdbe0e58f0e331c8a2fc69cfe8af1
outer,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,2718,1387627109,70,1.0,no_domain_balanced_batches,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,False,361152,231,361383,0b3092e286ce96ccf47e973d1b7cae55c481643a60647bfce45282a13d150113
outer,strict_core,0,no_domain_balanced_batches,no_domain_balanced_batches__arpls_minmax__legacy32__207744727115,3141,1164972746,70,1.0,no_domain_balanced_batches,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,False,361152,231,361383,936b45e51a5192da97e234fc3e33a90fbd79052e034e53e52e7d68f15a986db6
outer,strict_core,0,preprocessing_sensitivity_minimal_minmax,preprocessing_sensitivity_minimal_minmax__minimal_minmax__legacy32__e3894a6bdac9,1729,41680393,70,1.0,preprocessing_sensitivity_minimal_minmax,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,82df98e00caaf5852f6d077fd68dd8c5f7f5680809ac413167585803484d1ce9
outer,strict_core,0,preprocessing_sensitivity_minimal_minmax,preprocessing_sensitivity_minimal_minmax__minimal_minmax__legacy32__e3894a6bdac9,2718,1239638262,70,1.0,preprocessing_sensitivity_minimal_minmax,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,8adb419e4f6cfb9b7ed4785fdf8b517367ad4999c2a0a48f4594429da333114f
outer,strict_core,0,preprocessing_sensitivity_minimal_minmax,preprocessing_sensitivity_minimal_minmax__minimal_minmax__legacy32__e3894a6bdac9,3141,1535782892,70,1.0,preprocessing_sensitivity_minimal_minmax,minimal_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,852ea24da9d19bee6161e020f7cd9d434da68b949c86003787a4b2029b97a6c2
outer,strict_core,0,preprocessing_sensitivity_derivative_1,preprocessing_sensitivity_derivative_1__derivative_1__legacy32__07c9da85aebb,1729,669360315,70,1.0,preprocessing_sensitivity_derivative_1,derivative_1,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,361152,231,361383,f0f7e3a5dabda9ac3cc0da754478814402b85afe964c377be05f548077cacf0c
