epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.985016159663927,1.9478527733821742,3.998202229177715,0.15224868434154434,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
2,3.804132436284956,1.9134278336897592,3.7214414836555125,0.11993534083397972,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
3,3.5899908684736848,1.864160172197203,3.4117169332820056,0.0798887831485824,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
4,3.4695649289137482,1.829100102778302,3.2436883323239964,0.07448255635847319,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
5,3.383547568163335,1.7998015130592497,3.138498517851166,0.05798731946589931,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
6,3.238323817979421,1.760846303788242,2.9364115765552645,0.03708702116119151,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
7,3.1839399400925794,1.7310350509668817,2.8884379216377307,0.0347437784322445,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
8,3.0909804161021253,1.7004048816415647,2.767309836204478,0.027682448805167976,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
9,3.0366473892666646,1.6645625829696655,2.726342614912829,0.03565400510730333,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
10,2.958280353356671,1.6275540203448162,2.651650602454381,0.019604194009621066,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
11,2.9437376031812454,1.6071274296337406,2.6657786906160266,0.014883294710056819,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
12,2.8612245834426373,1.566468774088171,2.5835426153726138,0.011937982008009163,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
13,2.8098864255361997,1.5390696351891322,2.532211707127805,0.018843833307754125,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
14,2.7879880595680895,1.5162982885411243,2.5359531167327174,0.014852848360376642,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
15,2.7479805062148746,1.4847372075579814,2.5200001277670956,0.012972949048047824,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
16,2.708325206049231,1.4550678572117888,2.4977654952876613,0.017498319120522562,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
17,2.67338041122386,1.416811456743455,2.5030856148296636,0.020104662006387844,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
18,2.6295024290779567,1.4028560041591822,2.449006937197502,0.008571646078366368,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,1938015559
