epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.0276585269618677,1.9245475369530756,4.205742191623997,0.20670169068349376,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
2,2.906605205020389,1.8845905484379948,3.9225309088423446,0.1655276665413702,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
3,2.7721110356820597,1.820973254538871,3.645466121467384,0.1590851025806891,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
4,2.63769150424648,1.7521217868134782,3.4084663326675826,0.13381259586360003,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
5,2.55320160453384,1.7099891031110608,3.276380068547017,0.09646998144484856,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
6,2.4409763233081714,1.6474406203708134,3.084358998247095,0.08978388720267527,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
7,2.36749436404254,1.601577265842541,3.001680164723783,0.06198811976591478,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
8,2.26483107579721,1.539644979141854,2.841848215541324,0.05889589258947888,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
9,2.22934792815028,1.5015641515319411,2.8607209244289913,0.05041425846315719,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
10,2.2155348416921257,1.47418660730929,2.9197255824063277,0.04566740390618105,,,,,,,,,stage1,outer,0,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,42533735
