epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,4.003143825278377,1.931306392941254,4.111079471790238,0.16297726885767172,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
2,3.7782241303399697,1.8758944580886538,3.7788936444465686,0.12882871511361457,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
3,3.6452541998680066,1.827195986217221,3.618408678383227,0.08853894511595467,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
4,3.468107624559213,1.7758521181068674,3.367395977310787,0.08557524818260938,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
5,3.3480069084672737,1.7271037338585253,3.2252229538974384,0.08291702021826182,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
6,3.2260342544277774,1.684138107773484,3.0728073404324765,0.05492483444561232,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
7,3.083992043867806,1.6409193395778834,2.878939555970249,0.03602903282010792,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
8,3.040708440818534,1.6059186569112816,2.8607061588211566,0.04436716745724741,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
9,2.9292410872629935,1.551480838794582,2.7489492987954853,0.03285585060740346,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
10,2.8558343956802066,1.5016812465048783,2.703226447894873,0.025398894058947533,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
11,2.7297265387528777,1.4482769231922579,2.5597822429328563,0.015584697434987058,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
12,2.723229662472049,1.4117293286797226,2.6191243130639688,0.019382267531982026,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
13,2.6199113943718917,1.3632230624457857,2.5113332974200215,0.010216617796397367,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
14,2.5894662986528005,1.3312156239882211,2.5140732266255563,0.012140907381124647,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
15,2.5649617302496703,1.2914907261235824,2.543826418996647,0.015577443240099395,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
16,2.4587502495342535,1.23851571651484,2.4392934445513794,0.0058781913996655616,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
17,2.4758431122003013,1.2217011341196022,2.506471407334536,0.009063379061932596,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
18,2.3849166308017757,1.1696031172543961,2.429277476885461,0.006747976173677586,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
19,2.3335557378680503,1.1312029093306586,2.403553370608399,0.005761266824795513,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
20,2.314116766121214,1.0981754648764401,2.430506602028348,0.006879716174097251,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
21,2.2665189078312045,1.066235781505408,2.3990183066058632,0.007739909190610544,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
22,2.21238851231455,1.0232427396521664,2.3767475687115396,0.007719696924978534,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
23,2.1797682860039718,0.9926230741652432,2.3732348917335866,0.005277711210389998,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
24,2.1875862127897756,0.9762625248226898,2.421448546529606,0.005994370467775804,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
25,2.1129363135786248,0.9343782158087421,2.3562261331949803,0.004450147046356012,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
26,2.0937874696112626,0.9067001563823776,2.3738599478803724,0.0015732378001935435,,,,,,,,,stage1,outer,2,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,256897894
