epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.0476931796913527,1.9401668912152514,4.234813109584821,0.1952920078340163,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
2,3.011803480477824,1.9270853283397382,4.180522501270636,0.15835010074697856,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
3,2.793500073328367,1.8727831622690854,3.583040688125002,0.09982698155796013,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
4,2.5537233677417337,1.791935339322518,3.0046312492155156,0.042520922681384805,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
5,2.4605935419912752,1.7424121429753858,2.8212788766404717,0.051446696625793494,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
6,2.3344472428888974,1.6740027547278673,2.608660211990838,0.03311776018939739,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
7,2.277043021002481,1.624524304241041,2.5891113768384306,0.020963444867236322,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
8,2.1952155729464913,1.56942129531176,2.490774751501622,0.012402311078832792,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
9,2.1463742640327377,1.5236336875991567,2.4803653100004226,0.010597079417566178,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
10,2.0805495569476258,1.4736752933838042,2.4201791417163077,0.007317902490131532,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
11,2.0633596518507034,1.441186740944948,2.4774158915808036,0.011275913518392465,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
12,1.9909586878710015,1.3895539659202296,2.3954285133716673,0.010190347884085488,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
13,1.919200099583876,1.3359766790637146,2.329127160417677,0.0037666033223221866,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
14,1.8948906735328346,1.2999787912812344,2.373566115813398,0.006081404319138226,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
15,1.8512341049422458,1.2575362128672807,2.3724740169373066,0.0023175446916854263,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
16,1.830367305350066,1.22758713829953,2.4036101586002845,0.0075103841270273706,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
17,1.7829857561675417,1.18699592213298,2.3801389382131077,0.003820384509143639,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
18,1.7394214959635688,1.150123137572279,2.3531201646177475,0.004073199082747646,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
19,1.6832026583807809,1.0988679645069415,2.3333835871116664,0.003955289597725156,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
20,1.6560710668563843,1.0684715255946415,2.3475670398667803,0.0028311744072409563,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
21,1.603939762147162,1.0264388037678411,2.307850472554812,0.0021533556189697444,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
22,1.5754298300442109,0.9998829964783501,2.2998742209716494,0.002313157921019583,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
23,1.5347208794565297,0.9623966927940267,2.2889790847848026,0.00031767791157210885,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
24,1.5148047454333384,0.938297725397091,2.305599007891658,0.00042913484068407966,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
25,1.481258946399752,0.9027706703474355,2.3138434867130164,0.00010960958155484691,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
26,1.4426864397486183,0.8681183203906316,2.2981249589064587,0.00014743872568555845,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
27,1.4163220467361501,0.8418981226971776,2.2976956478385038,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
28,1.4153842549783446,0.827657401363715,2.349261556352888,0.0016458471154057702,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
29,1.3724545200797806,0.7987320718179114,2.2948898690879544,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
30,1.3411283635617888,0.7685846621015935,2.290084398466091,9.039469972945923e-05,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
31,1.3144926169385942,0.7400927799088615,2.2968518131991162,0.0007475157426144197,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
32,1.298445413675023,0.722842686992151,2.3018724589648834,0.0005384780763589662,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
33,1.2749360031463775,0.6987607688998859,2.303886600507058,0.0008142828644312101,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
34,1.2493348501845452,0.6739420427436449,2.3015154627866523,5.578697717863064e-05,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
35,1.224902661535827,0.6530219560049697,2.2875227563801004,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
36,1.203742074808013,0.6305432384988399,2.292795283057761,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
37,1.1802475218757047,0.6089798400172364,2.2850707464439926,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
38,1.1569696522234285,0.5872215076142371,2.278992635467124,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
39,1.1321295004746446,0.5640428301899932,2.2723467433175375,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
40,1.127867351932779,0.5581137415182551,2.279014384627738,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
41,1.1022289110180548,0.532218292504054,2.2800425500964803,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
42,1.098561275044945,0.5265649662065347,2.287985258720246,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
43,1.088127655444351,0.5147713062375091,2.2934253631636152,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
44,1.0682686175222809,0.4971509832282399,2.284470542324738,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
45,1.0557490472381694,0.4768751310153657,2.315495574989192,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
46,1.0387370725010716,0.46483536049773133,2.295606891182174,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
47,1.0249188465137418,0.45247781682648136,2.2897641429077353,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
48,1.005377188869489,0.43543819474223444,2.2797559816575923,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
49,0.9898821638272054,0.41931906629638416,2.282252437648583,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
50,0.9881751347221805,0.41338941128150963,2.2974981996308133,0.0016447884893892612,0.6920724203332899,0.6924775707384402,7.0,0.6291618943214417,1.1966859102249146,0.5675240159034729,0.6285637617111206,7.506094932556152,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
51,0.9813161438881757,0.407048308968148,2.2970713016598725,0.0,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__derivative_1__legacy64__f145e658fdd7,1093979099
