epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.933954577113307,1.9186573325597567,3.9953879644704418,0.1760320881028904,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
2,3.673309928951073,1.8412603575525885,3.628975059502941,0.17562063518552684,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
3,3.4918556894574846,1.7754860712444267,3.407408490133444,0.12665392896562716,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
4,3.355327480259132,1.7177478581963979,3.256142355674921,0.09508429961495621,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
5,3.2378485068134295,1.6749622813886977,3.109804938401891,0.0798372283478908,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
6,3.0880045779915744,1.6283149814288878,2.907766904941825,0.058061579533193595,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
7,2.976722939069881,1.5795130705912643,2.7860790986159314,0.04170301109799911,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
8,2.8887751324232234,1.5359685931886946,2.70008299319055,0.027650459663342203,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
9,2.8017197265181433,1.4867794759249766,2.624592736313905,0.026438650585389217,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
10,2.733843587957743,1.4414756416878431,2.579438498645922,0.02648699947592626,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
11,2.6524295101926176,1.402422353278759,2.4968233892687928,0.015954789161013803,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
12,2.598870501565775,1.3573929178358313,2.478214351045729,0.023704157286691806,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
13,2.537783833437188,1.3206224140534766,2.431730452962096,0.012961784117790155,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
14,2.480989793606375,1.2696182407017957,2.4192065444103505,0.01768304689778046,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
15,2.445488527367677,1.2392665733926715,2.4102651498642476,0.01089353108487751,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
16,2.4490147381525893,1.210233287161767,2.4755649166645797,0.00999032916420718,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
17,2.3292629350459455,1.1561780130348331,2.343753106570323,0.012083474769445749,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
18,2.3086096844403845,1.1230003485251898,2.36893555135822,0.011415326516097566,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
19,2.2696938704810665,1.08241932891136,2.373132005482417,0.007085535390630513,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
20,2.271850612076414,1.0637445430026895,2.4147217689558516,0.007451775332176408,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
21,2.1936309698016143,1.0128487895097447,2.360579545711758,0.004924201789819496,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
22,2.1804806544535182,0.9947127927577377,2.3698022718049363,0.008667153167071137,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
23,2.121780540856016,0.9491962269691138,2.3440896704347427,0.0053954086362374976,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
24,2.08112577227659,0.9123542506829448,2.3360887310433625,0.007271997321186668,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
25,2.058117475224492,0.8954618068232488,2.3245155110311666,0.003979441508700285,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
26,2.03794208792753,0.8644188072198253,2.3460383640967333,0.005040821764754298,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
27,1.9940006653731843,0.8349760626241615,2.316415072279515,0.008170821453348742,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
28,1.9755412439175222,0.8046419087834532,2.3410601695114592,0.003692276194920621,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
29,1.9458183687786723,0.7836148671533578,2.322568109661242,0.009194801097420165,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
30,1.9405459886373475,0.7617024648625194,2.356744497321373,0.004712676640253427,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
31,1.8990647111620222,0.7405100373730708,2.316566034804943,0.0027166084847428476,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
32,1.8831141826718352,0.7207472674870412,2.3238800435367217,0.004268866923461324,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
33,1.8615012446115182,0.7007066540147775,2.3210607145315785,0.00264229578897357,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
34,1.902533660299358,0.6968373323595801,2.4084029154128013,0.014948765490439248,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
35,1.8300233802130057,0.6633851912330552,2.3329930891626303,0.0014165056392897008,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
36,1.7887184996145509,0.6340504043126027,2.308832897696384,0.002516296268301549,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
37,1.7717710852226942,0.6160874137054646,2.311024983459929,0.0017116373788528267,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
38,1.7827474639265244,0.616278855705578,2.332340268201606,0.0029849288660253204,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
39,1.7610882778104358,0.5953546808011508,2.3298099540000736,0.008286394253125618,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
40,1.734619066960788,0.5690006677098448,2.330139553428092,0.005486463997946229,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
41,1.7106039666654265,0.5476147415630049,2.325227832477354,0.00375291887528427,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
42,1.6928305661559502,0.5325254292979192,2.3187122273682754,0.009490161564857064,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
43,1.679250249038899,0.5197877471035105,2.318802533751706,0.0006123942746920046,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
44,1.6650870321596976,0.5007274931055367,2.328314019596062,0.0020253314602612657,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
45,1.6624792041968666,0.4967807780864627,2.3306805034016453,0.003581631074712126,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
46,1.6392619055370952,0.4752100415998123,2.3277505414430486,0.001765986316623878,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
47,1.6170263789420904,0.4560019468944334,2.3215995551739814,0.002246371445638991,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
48,1.5976552238496038,0.44601232674826813,2.3028830099739506,0.0020137966062836474,,,,,,,,,stage1,outer,2,1,domain_aware_stage1__minimal_minmax__legacy64__ca2cc946f2fd,1009764849
