epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,4.1032664864750235,1.940918101294566,4.23010566032539,0.1891825221352658,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
2,3.8937127638671356,1.912984590207116,3.903878493228201,0.11515603267540366,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
3,3.6136090302871446,1.877187189005189,3.431779909133911,0.08212762106273133,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
4,3.375291387913591,1.8225203162532742,3.0757141076912315,0.05965609303596666,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
5,3.2019744420455676,1.7713102134607606,2.8437705476405255,0.035116013114230106,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
6,3.0428522918183925,1.727369810767093,2.622023941096613,0.017882074403055642,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
7,2.9992104991007658,1.6814922720698986,2.624789994854038,0.02129298043200525,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
8,2.932943651231669,1.6353922940916934,2.5886220535989537,0.012961494619563474,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
9,2.8826583215745827,1.6066483748161187,2.5439053672855185,0.016229012128660233,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
10,2.8332997014967063,1.559874577441458,2.537106986773216,0.019486421221961914,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
11,2.8052897218930517,1.5226360143241235,2.5573714543197115,0.01587201834545802,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
12,2.7164825609174827,1.4820010233733614,2.4628763251385446,0.012173506251331102,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
13,2.6736932661573767,1.4359140937611208,2.4698072712300188,0.011502042753716647,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
14,2.5705230640152754,1.3853104328705093,2.3684379846362744,0.003974602899466783,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
15,2.5534134820356207,1.350684530048047,2.4024138082892206,0.006088105387200396,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
16,2.532155375157372,1.3115493992627678,2.4339131201727917,0.014597508109222024,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
17,2.485811983932883,1.278429895336345,2.412687171515772,0.004153956739642357,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
18,2.4523310641110956,1.2384780208943253,2.42559116007918,0.004229849706388126,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
19,2.3749547917964096,1.1968506610999674,2.356061715998892,0.0002929685605784594,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
20,2.362900610293372,1.1724589323593397,2.380260852635917,0.0012450033451540995,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
21,2.3228274252455114,1.1405786882012576,2.3619456535678798,0.0051036704663124126,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
22,2.2694353051104788,1.0915952625921217,2.3551370739936828,0.0010861322410025838,,,,,,,,,stage2,global_-1,1,3,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,1542281866
