epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,4.0496500233151265,1.9307497368743087,4.202326829859753,0.17736941378637655,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
2,3.7883886517278405,1.9120035913606352,3.7309646606445312,0.10902752534837912,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
3,3.5453858470285176,1.8754020250396224,3.324894751934026,0.07536477980432131,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
4,3.329685124340436,1.8313304627967986,2.986175281322555,0.052670632569205685,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
5,3.22845067251597,1.799156342910615,2.850246977332412,0.041708059707619496,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
6,3.174194556987838,1.7682814116509544,2.8042438993390824,0.03791209806176211,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
7,3.084848675506794,1.744766794293132,2.675171991847209,0.024959078206625206,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
8,3.0007725819846653,1.7073571066193234,2.582620339677823,0.021052871898606124,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
9,2.975310802459717,1.6806367809409337,2.58400319585737,0.0267244970536982,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
10,2.8979092575856393,1.6535669470464947,2.4860543194196083,0.01315170664660978,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
11,2.868213767247484,1.6217885972648267,2.4910812930555535,0.008845515469002802,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
12,2.8198284597586323,1.5874748601029252,2.461419332895847,0.016439873458037386,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
13,2.8072380924856426,1.569728566321316,2.472946231728358,0.010364003972896677,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
14,2.76331927128975,1.5423951898979036,2.439299630013523,0.012742706198269957,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
15,2.721259622384381,1.515832607319813,2.409210880071122,0.008215862197187784,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
16,2.692282090913381,1.49669177326935,2.390175985974192,0.005023157862415969,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
17,2.6879165204155524,1.4758803489192431,2.4208506187855803,0.016108709961848197,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
18,2.65728396769391,1.4528812667391948,2.4071685841541415,0.008184123575372855,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
19,2.5965343121661255,1.4147043172886828,2.3625668437275666,0.005465750900152701,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
20,2.6357802697364856,1.4014621751987382,2.466341336041886,0.011474205390704388,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
21,2.5740067358838012,1.385112422191544,2.3764707189522043,0.006589791583304374,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
22,2.5383593799262645,1.3536723978472072,2.3685006021663844,0.004366737772673615,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
23,2.5002407885545135,1.331073377306098,2.337958039037439,0.001884069892004231,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
24,2.5325785393746485,1.3151765477578372,2.4328393936157227,0.00982368363079843,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
25,2.5085273057419735,1.3066435981270492,2.402501768623756,0.006328509750449105,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
26,2.4689995753054585,1.2819948922719386,2.37344549823281,0.0028197997502538543,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
27,2.4261343873889243,1.2408433110508699,2.369503760969402,0.0053916528777817625,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
28,2.3983310216310008,1.211141907616167,2.3729580348690615,0.007101452150783002,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
29,2.4018627128853702,1.2086120891255259,2.3857132078006567,0.003940209690851486,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
30,2.3615737182415084,1.1845368952151165,2.353592342098817,0.0024065292441896747,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
31,2.3572264949217536,1.1620863573440652,2.3883790433012098,0.00950610518011431,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
32,2.331151112815402,1.145538523497171,2.3701317428753077,0.00546711835654033,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
33,2.2843730623358924,1.1181791649748947,2.332197085911075,0.000954067926631858,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
34,2.272296802887064,1.0934302333174952,2.3564484774671643,0.006423572781464912,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
35,2.2457806519325207,1.0692809693860692,2.3518203962717625,0.005894640192315476,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
36,2.2126514169554046,1.0445509114802278,2.3356340870951975,0.0028348184924646717,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
37,2.1752916471847636,1.029967539752556,2.2906433130731645,2.4676718440720973e-05,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
38,2.1769090038261667,1.0134201231381752,2.3264398322200144,0.0026896154902727397,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
39,2.1388592538454674,0.9870749719885011,2.3033047622402774,0.001318908099159105,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
40,2.133374986269616,0.9834500034123856,2.2998501117655774,0.0,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
41,2.1268237379213044,0.9532652078874854,2.346954654384133,0.0008118661823651648,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
42,2.0910978593573666,0.9389473140634448,2.3039957348084608,0.001526754346386289,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
43,2.135439672217464,0.9334163878927167,2.4020425886507857,0.010019650429931302,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
44,2.0924818397357763,0.9249042805456957,2.3345665655388737,0.0029426316163249757,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
45,2.0581799942926065,0.9015704428912789,2.31309001177352,0.0006460435133402711,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
46,2.0408996572557663,0.884965711476787,2.311619791763508,0.0012402463803030798,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
47,2.0305502067338552,0.8637786219451601,2.3327458915331505,0.0039862634287221935,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
48,2.025744219489445,0.8660645824394478,2.3189396416114656,0.0020983738497837097,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
49,1.9867268484949276,0.8403671616750048,2.2915093251411487,0.0060501672783928205,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
50,1.9759752663555523,0.8271695825437836,2.297360942853208,0.0012517854670025656,0.8046503186254739,0.7650332572260153,7.0,0.652776837348938,1.243492841720581,0.5907160043716431,0.6976926326751709,5.884618759155273,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
51,1.9746154633578876,0.8129681569850997,2.3228591727894665,0.0021774190129551863,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
52,1.960842307829699,0.7998847685112859,2.3217893641516074,0.0006287516470973855,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
53,1.9442872858994844,0.7900371042308428,2.308255959820274,0.0012219566235084408,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
54,1.924873132579374,0.7619268333675057,2.325348685908791,0.002719458562648849,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
55,1.9144388879371794,0.750446957468197,2.327383510324339,0.0030017554365246502,0.8054439694191247,0.7606659888835917,7.0,0.6937939524650574,1.2562761306762695,0.5624821782112122,0.7651965022087097,5.889073848724365,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
56,1.8923419485029005,0.7461341919488464,2.292162384418462,0.0012656703393980368,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
57,1.8919441794717549,0.7436615986539828,2.2960970204397544,0.002340828198076084,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
58,1.8684586539173758,0.7222728970035023,2.2923714948805753,0.0,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
59,1.8625682379236284,0.7071823651427465,2.3103500478315038,0.0021084618588157046,,,,,,,,,stage1,outer,0,2,domain_aware_stage1__derivative_1__legacy64__99c357563ccb,529334540
