epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.9916669845581056,1.9273002386093139,4.038468532562256,0.18052992582321167,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
2,3.8407626056671145,1.8989789152145387,3.8110298442840578,0.1450752705335617,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
3,3.7289137649536133,1.8613612651824951,3.6738436126708987,0.12252259984612465,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
4,3.5842099380493164,1.822483367919922,3.4700450801849367,0.10681632280349732,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
5,3.4803083992004393,1.790417833328247,3.3370386028289794,0.0854850585758686,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
6,3.3696962070465086,1.7616831493377685,3.1830410289764406,0.06597005605697631,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
7,3.248655662536621,1.717265748977661,3.040687484741211,0.044184671305119994,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
8,3.1314166164398194,1.6788441467285156,2.8893104553222657,0.03166892908513546,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
9,3.0458450317382812,1.6441489696502685,2.7919852542877197,0.022813624441623687,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
10,2.9902105808258055,1.6081403827667236,2.747799444198608,0.032681855714763515,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
11,2.915498609542847,1.5782700347900391,2.6629558181762696,0.023002567254006862,,,,,,,,,stage1,outer,0,4,domain_aware_stage1__arpls_minmax__legacy64__6832389fb131,248586098
