epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,2.9604568740068857,1.9213541564294847,3.9502034502514336,0.20620756977695529,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
2,2.772168629856433,1.8513986842106964,3.5451381651021667,0.13794169451220561,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
3,2.72481348474147,1.8085286087908987,3.538935089919527,0.12620464692176397,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
4,2.643237056570538,1.7605050224368854,3.4052966639146964,0.12563147717865847,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
5,2.5549910343299476,1.7116749407881398,3.2553099608017226,0.11795414181078895,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
6,2.469618752043126,1.6664507409273568,3.1302864672773976,0.08238556981086731,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
7,2.431636666443388,1.6361575445886385,3.0909782373299035,0.09093817924543962,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
8,2.3554747670383778,1.5880592398724314,3.01465541629468,0.055006678200374214,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
9,2.25685055781219,1.52704080040172,2.8661505998191186,0.05308811033176163,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
10,2.1911061125286553,1.4820782689724938,2.788349282539497,0.04776213017560668,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
11,2.134636758545698,1.440285826941668,2.7509387299165886,0.026465177706687444,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
12,2.075433520543373,1.3958020913398872,2.6955267805164143,0.02299918976880736,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
13,2.00483208672475,1.3408207513518253,2.622687293311297,0.03335810794605542,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
14,2.0029490002131056,1.3200073201777571,2.705780194169384,0.025986608597686735,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
15,1.8966505503250382,1.2510591102858721,2.5664140955876498,0.01595178250917944,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
16,1.8369603674290544,1.2019301022513438,2.5309066796706894,0.00921446446771339,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
17,1.8150468915195788,1.1653333894277023,2.573720500832897,0.02513349350162987,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
18,1.7535821413589736,1.120369766526303,2.516795103832827,0.01605445879622031,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
19,1.7183816315764087,1.0741001731258328,2.5571495468333616,0.019976291099121257,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
20,1.663973393278607,1.0344947414883112,2.507264075844975,0.010650511104929246,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
21,1.6475641315266238,1.0003056344339403,2.580998354443049,0.008035553044686884,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
22,1.6126576868154234,0.9714311727022721,2.5486000679307064,0.016305917362540456,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
23,1.5969729492219829,0.9548787947428429,2.558568465911736,0.009808250672925832,,,,,,,,,stage1,outer,1,3,domain_aware_stage1__minimal_minmax__legacy64__323ba3e90ba9,58107665
