epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.9451490801733895,1.9165915605184194,4.020661521602321,0.18226762921423525,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
2,3.732862801165194,1.8671435214377738,3.7001886754422575,0.1562491546611528,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
3,3.637334546527347,1.8244086085139095,3.6015548319429964,0.1214853486902005,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
4,3.448449772757453,1.7793520721229348,3.3219132745588147,0.08141084981931222,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
5,3.331009529732369,1.7367042464178961,3.17501379025949,0.0679837141588733,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
6,3.1820315412572913,1.6869976198351062,2.9783801968033248,0.058438180165516364,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
7,3.0667471563493884,1.6446026112582233,2.8375135885702596,0.033877633033773384,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
8,2.953886251191835,1.601437130489865,2.699386841542012,0.027557660938819516,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
9,2.972016482739835,1.568880245492265,2.7976518128369308,0.04310348281334784,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
10,2.8372881928005733,1.5191588498450614,2.630372115083643,0.029433093461635952,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
11,2.771453583562696,1.479197598792411,2.5807223771069503,0.018947501836747333,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
12,2.7188109449438147,1.4293180124179736,2.5738716769862817,0.025570411386119353,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
13,2.6936140350393347,1.4089714192055367,2.5648825812984155,0.022013096856205044,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
14,2.6315050060684615,1.3722654548851219,2.515859623213072,0.013097789787098992,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
15,2.5768196099513285,1.3325174628077328,2.4854137833054,0.015952094549288018,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
16,2.537305181090896,1.2950519806629903,2.480848412255983,0.018290441084458063,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
17,2.492170082556235,1.2529488157581639,2.476716856698732,0.008628480602055788,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
18,2.4127130540641577,1.2027053253070727,2.418596950737206,0.007092231093289179,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
19,2.427722418630445,1.1852935359284684,2.483500519314328,0.0067863728932885305,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
20,2.3618735236090584,1.1413192555711076,2.4392328101235465,0.009378879979202474,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
21,2.2991456018911824,1.1107630794112746,2.375825817520554,0.004695419977242882,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
22,2.303107844816672,1.0759079166360803,2.4528207070118673,0.00789608747849392,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
23,2.249405184307614,1.0449425787539095,2.407616157789488,0.006544942036271095,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
24,2.2532587856859774,1.0334453131701495,2.4378315854716943,0.008976823879984787,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
25,2.1817048111477413,0.9877534718126864,2.386882740098077,0.005099661638834388,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
26,2.1448288801554085,0.9603842287450224,2.3678728438712455,0.005082240730926797,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
27,2.101365224735157,0.9302834062962919,2.3410995650935815,0.005320278984318311,,,,,,,,,stage1,outer,3,0,domain_aware_stage1__arpls_minmax__legacy64__82bbd1ef5047,1904668503
