epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.9423227483863075,1.9307830665285224,3.9309486774419318,0.1842612757390698,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
2,3.661424515263134,1.8596757981950873,3.5429471281190583,0.12110061797973336,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
3,3.567575617341806,1.8150029900847682,3.4398491177337847,0.13059221612696617,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
4,3.4210817498087094,1.7598841798226565,3.2728348915150622,0.09912072245451,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
5,3.2707845280502017,1.7157441780267173,3.076271451861653,0.06761857587227363,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
6,3.174767216309806,1.6748190028777976,2.964970304476504,0.06985230433033002,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
7,3.0623192613488,1.6246578851282991,2.851383540804023,0.04787842223778466,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
8,2.9795083210168296,1.5788278903392767,2.7815149761983102,0.03969207227180731,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
9,2.9023843569471346,1.5358006196306242,2.7194189504282362,0.027497025585998564,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
10,2.8258283375114797,1.4965496655331543,2.6470175326265246,0.023079434866147327,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
11,2.725080933791912,1.44570110570516,2.5520221223894333,0.013475041655324005,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
12,2.7136543586554116,1.4145300056760675,2.586016927333857,0.024463448883188483,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
13,2.6324576242080586,1.3723856187024652,2.515273869432361,0.009740211974693746,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
14,2.569839191752554,1.3310835590425707,2.4722723881929913,0.010477729098538294,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
15,2.529148537591593,1.2930613345657753,2.467500149808972,0.00934863772662665,,,,,,,,,stage1,outer,4,3,domain_aware_stage1__minimal_minmax__legacy64__2499ae1e3749,1932030008
