epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,4.102810397100607,1.9390671205679046,4.232439620154245,0.190093829287247,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
2,3.8959479625042888,1.9107223515494718,3.9089495185205707,0.12300344648155263,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
3,3.5487278355316465,1.8721336771879482,3.319662030749147,0.06705242797633343,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
4,3.340641651438716,1.821916178611426,3.0079831752270163,0.05893568159931918,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
5,3.2247104898243646,1.7894275794393597,2.849261317934309,0.04260901011452326,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
6,3.1194308746692747,1.7495911406520197,2.7241499776460008,0.03105891051631037,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
7,3.0190053279217692,1.7077028636520488,2.61229861139063,0.020612816931215732,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
8,2.936356118351122,1.6750716632386775,2.512428893203355,0.020280157017871194,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
9,2.873324817993316,1.6354366255757025,2.4696851485591393,0.012182495510360332,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
10,2.860763643271107,1.605239822618985,2.5063247344026536,0.00944581914358955,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
11,2.788063234665069,1.5735374257414048,2.42641356973553,0.005276102139506229,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
12,2.7468324119466483,1.531384069262153,2.4276969139758138,0.006399399116697204,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
13,2.7112699497577757,1.505954050146464,2.407170816909435,0.006921823461388432,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
14,2.6604343458663586,1.4706387147554925,2.375473570982087,0.008235361371375002,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
15,2.6144353083993908,1.4289531668159257,2.3685740735443725,0.004780327288613367,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
16,2.558349378085216,1.395825359512405,2.3250480510071663,0.0,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
17,2.5210976877877878,1.350749854629618,2.3392703636144088,0.00285066644416695,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
18,2.514171708065806,1.340502491425042,2.3456257423293154,0.0034253485160462087,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
19,2.4620998824553633,1.2908931657721434,2.3410059102745944,0.002815138164944823,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
20,2.430854132009107,1.2515195307145484,2.3575149410190774,0.0023085669122413542,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
21,2.3976413672944634,1.2301753442548835,2.3329135048825083,0.004037274449964694,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
22,2.3825659292480874,1.2099972139561295,2.3436593229192435,0.002956017610490124,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
23,2.324015442715135,1.1682994662725252,2.3105458341959704,0.0017722089654236932,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
24,2.29859482014298,1.138522506156237,2.319567233621084,0.0011546988522887626,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
25,2.288663157592976,1.1188134905507794,2.3390069146488988,0.0013849606576601533,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
26,2.2435397658237193,1.0923710918901766,2.299755141188536,0.005164462021022936,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
27,2.2016642905548958,1.0475559511850046,2.307136666735145,0.0021599686002216466,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
28,2.1794525563122824,1.0266453800011315,2.305614414801233,0.0,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
29,2.140702195341801,0.9992430818041298,2.2829182694520664,0.0,,,,,,,,,stage2,global_-1,1,2,domain_aware_stage2_legacy_64__derivative_1__legacy64__b14c7881122e,999008421
