epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,4.1091484379124,1.9428641022862614,4.232212756131147,0.20071194059139974,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
2,4.104961279276255,1.9387671142011076,4.232214379954982,0.20034748799092061,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
3,4.100963251010792,1.9348268186723865,4.232215017885776,0.20011615873994054,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
4,4.109862404900628,1.9437032776909906,4.232214682811016,0.200207121066145,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
5,4.104546682254688,1.9384194773596686,4.2322152627481,0.20007805606803378,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
6,4.1089243180042985,1.9428074649862341,4.232215301410572,0.20003685596826914,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
7,4.105704591080949,1.9395950033858016,4.232215056548247,0.2000081506935326,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
8,4.109091314109596,1.9429922844912555,4.232214521717381,0.199967254255269,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
9,4.111903809212349,1.945848448856457,4.232213213637069,0.19979511201381683,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
10,4.105846694997839,1.939784204637682,4.2322099015519425,0.19983019740194888,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
11,4.103381169808878,1.937500061215581,4.232171632148124,0.19918106657427712,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
12,4.103948225846162,1.9380998514794014,4.232036822551006,0.19931956884023305,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
13,4.096526899853268,1.9337447269542798,4.229636946239987,0.19185503068807963,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
14,4.08303038494007,1.9334458885966121,4.209148071907662,0.18004192190395818,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
15,4.040952508513992,1.9149872386777722,4.168565479484764,0.16672987229115255,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
16,4.047845415166907,1.9159853716154356,4.180408348908296,0.16662356660172745,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
17,4.011912822723389,1.901758751353702,4.146655276014998,0.1473053440048888,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
18,4.070647484547383,1.9162197145255837,4.210622607050715,0.19646593646423235,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
19,4.007585171106699,1.8903885886475846,4.146602630615234,0.17558097678261833,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
20,3.9805236249356657,1.875770778269381,4.118443379531035,0.18212482333183289,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
21,3.9537623250806653,1.8665087770771336,4.0949537496309025,0.1591068703580547,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
22,3.9855748833836735,1.866008236601546,4.154178548503566,0.16990978814460136,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
23,3.9195649237246126,1.8352525717503316,4.08261134173419,0.17202673530256427,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
24,3.847231993804107,1.804311272260305,4.011589559348854,0.1485039229328568,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
25,3.9079375589216077,1.8178553581237793,4.096094073476018,0.16814078732922272,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
26,3.832106300302454,1.7815926558262594,4.0402958457534375,0.12146268744726439,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
27,3.821706456107062,1.7606506927593335,4.030999183654785,0.18222475394203858,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
28,3.7544679641723633,1.737423738917789,3.955814754640734,0.15654731864059293,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
29,3.840059132189364,1.7595925427771903,4.067933610967688,0.18599924364605466,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
30,3.7491841831722774,1.7079857652251784,3.997433378889754,0.1699269917365667,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
31,3.705182932518624,1.6994679038589064,3.9278230280489534,0.16721403518238584,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
32,3.6964030587995373,1.6722831146137134,3.9614752434395455,0.17352930436263214,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
33,3.7099147229581266,1.6723656106639553,4.006409342224534,0.13737781929808693,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
34,3.6492686207230025,1.6482861911928333,3.9260550576287345,0.15181956218706594,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
35,3.64340277620264,1.617406287708798,3.983683521683152,0.1366190110912194,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
36,3.596042162663228,1.6101290019782815,3.9058202086268246,0.13201228025797251,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
37,3.6575100035280794,1.6193834285478335,3.9737362990508207,0.20503368208537232,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
38,3.697670524184768,1.656042363192584,3.9970924338778935,0.1723278251451415,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
39,3.652070921820563,1.6392658626711047,3.9534531670647697,0.14431370875319918,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
40,3.6455366353730896,1.6096962819228302,3.9867184677639522,0.16992451069322792,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
41,3.5677357879844873,1.589480371088595,3.886347190753834,0.14032726030091983,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
42,3.5755472763164624,1.5678686032424103,3.936008427594159,0.1586977920016727,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
43,3.575958728790283,1.5719319775297835,3.935094607842935,0.14591789608066147,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
44,3.532754105490607,1.5448339952004921,3.897818977768357,0.15604271216166987,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
45,3.556910940118738,1.5457399084761336,3.9509645152736352,0.14275499554099264,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
46,3.4810439638189368,1.5233754821725793,3.8469887617472054,0.13669633845219742,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
47,3.495256114650417,1.499761388108537,3.9228612538930534,0.13625627534615026,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
48,3.534580945968628,1.5388487867406897,3.919634619274655,0.14365948293660138,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
49,3.560516312315657,1.556345298483565,3.9152457069706275,0.1861925249969637,,,,,,,,,stage2,global_-1,3,0,domain_aware_stage2_compact_64__derivative_1__compact64__0ab028be8f59,367405416
