epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,3.90529492832967,1.927105677838357,3.9286871824832943,0.13845676208371357,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
2,3.7525222569901424,1.882620775936455,3.714120124349531,0.1284144560726273,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
3,3.5164177749330636,1.8423251600454975,3.334638947682665,0.0677316037850109,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
4,3.4672541049932013,1.8170259306762393,3.286404737573586,0.07025832932023023,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
5,3.302356696286738,1.773458156364643,3.04358124417185,0.07107900899668403,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
6,3.1887849293007755,1.729335069656372,2.910510191064797,0.041947756554709364,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
7,3.0698502963741885,1.690675708631806,2.7537195129899787,0.023148202642625727,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
8,3.0314890659408062,1.6558753504658377,2.741054347019322,0.05086535341198871,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
9,2.9534165559225523,1.6209006917397708,2.6606515180196193,0.02190134357907717,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
10,2.8876243963936306,1.5896322900885778,2.5903930348276303,0.027955503357167275,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
11,2.8359123207875436,1.556075487705256,2.5559902475369687,0.018417205365485703,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
12,2.792377099296115,1.5293077609396928,2.524499613717692,0.008195241610982165,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
13,2.7210770663836144,1.4924296685401968,2.4554296897736605,0.009325415562122862,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
14,2.7112497257081087,1.4664936263040202,2.4882912241070474,0.0061052397374581815,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
15,2.671012843681487,1.437296917896397,2.465165005614426,0.011334282780892603,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
16,2.634000672409866,1.4037016953853583,2.4591723601549664,0.007127822296607573,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
17,2.57274573528214,1.3632508153157519,2.4176469417597284,0.006714388939385481,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
18,2.5546514624791428,1.337505182683073,2.4329071921228573,0.006927012763485708,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
19,2.527916290902144,1.3138481070663754,2.4256703877291144,0.012330304229915734,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
20,2.5007694320173455,1.2888483566953646,2.4220333888830727,0.009043509060430605,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
21,2.478266845475759,1.2580688512877913,2.4382870070981664,0.010544792336522793,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
22,2.427998972254873,1.229081644917166,2.395954242605247,0.009401837428624084,,,,,,,,,stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,1537551261
