epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,validation_balanced_accuracy,validation_macro_f1,validation_predicted_class_count,validation_same_analyte_distance,validation_different_analyte_distance,validation_different_minus_same_margin,validation_same_master_cross_instrument_distance,validation_embedding_effective_rank,stage,scope,outer_fold,inner_validation_fold,candidate_id,seed
1,4.104855132184338,1.9412830091580595,4.226765278663245,0.20075817823206604,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
2,4.1059871167453075,1.9380322487281043,4.229142764322587,0.21353416968734598,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
3,4.103672717618454,1.9374715773318816,4.22542663076225,0.2139511496947487,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
4,4.098566357999938,1.9331825227053905,4.224256618031056,0.2130220212016903,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
5,4.087826343119755,1.9294754938054004,4.218455069707929,0.19649297141377836,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
6,4.095423953931893,1.9336906028688972,4.225100379755066,0.19673286200383416,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
7,4.085404577515638,1.926712643978132,4.211922804243328,0.21092253511472775,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
8,4.07999211366673,1.9245754203698742,4.2127021115794525,0.19626245904497727,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
9,4.065124481611284,1.9204453974453664,4.201824136968359,0.17506759107723172,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
10,4.071780623836322,1.9182720692898225,4.213369745443298,0.18729430147201942,,,,,,,,,stage2,outer_1,1,0,domain_aware_stage2_compact_64__minimal_minmax__compact64__ba06ef178b3d,1716215410
