epoch,beta,learning_rate,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,mean_unclipped_gradient_norm
1,0.0,0.001,0.0884156936369328,0.0884156936369328,20.505947700485617,0.01463665074981129,0.0888360542141729
2,0.02,0.001,0.059823087483760674,0.05635667093040069,242.82241083632204,0.17332077861264955,0.13956000987026426
3,0.04,0.001,0.05085715324006118,0.042191993299922514,303.4972201341774,0.2166289936717897,0.14566665142774582
4,0.06,0.001,0.04386561287686839,0.04043141620317165,80.18850113123248,0.05723661750980192,0.14526055339309904
5,0.08,0.001,0.03730228841014308,0.03213410473793571,90.50782549822772,0.06460230228281778,0.09054789402418667
6,0.1,0.001,0.03587310800426885,0.03261014453877947,45.7141241404513,0.03262963892965831,0.08618185131086244
7,0.12,0.001,0.03410306377935479,0.03112861782414058,34.72665445428146,0.024787048147238727,0.03797172299689717
8,0.14,0.001,0.033336818918992435,0.03096546282443503,23.73050104479576,0.01693825913261653,0.027092940484484036
9,0.16,0.001,0.032655409513655,0.030382028270737934,19.90628990188212,0.014208629480287022,0.04357793306310972
10,0.18,0.001,0.03227286180935175,0.029742358953167354,19.69574286273116,0.014058346083319885,0.049238634295761585
11,0.2,0.001,0.031120592840814684,0.02870789748302445,16.90093167622884,0.012063477284959915,0.06334652420547274
12,0.22,0.001,0.030431445604498855,0.0270466808062664,21.554799835584316,0.015385296099631917,0.10608824259705013
13,0.24,0.001,0.029023891333018595,0.025586043228531443,20.06844083700496,0.014324368905785125,0.05762301654451423
14,0.25,0.001,0.027855502619438935,0.024337564251924817,19.714526890314115,0.014071753669032202,0.06537270949532588
15,0.25,0.001,0.028332736510166184,0.024880112655330123,19.348505626180252,0.013810496521185048,0.11698141383628051
16,0.25,0.001,0.02818818447011256,0.02479898463390027,18.993077014157183,0.01355680015286023,0.07742944732308388
17,0.25,0.001,0.02621707532257132,0.022836265871283137,18.946055919803374,0.01352323763012375,0.07498233020305634
18,0.25,0.001,0.0255780323040009,0.021991990561112326,20.09617986548946,0.014344168355095974,0.06893339318533738
19,0.25,0.001,0.024927845863774275,0.021649938699431704,18.369392030652737,0.013111628858424509,0.07749982581784327
20,0.25,0.001,0.023848755198002558,0.020742613479102914,17.406817192687395,0.012424566161803994,0.05184420415510734
21,0.25,0.001,0.02311173360976327,0.01998662472962171,17.51311152720312,0.01250043649336411,0.07652659289952782
22,0.25,0.001,0.023473408320087204,0.019573333740350564,21.85601782101637,0.01560029823056129,0.08512610693772633
23,0.25,0.001,0.022130490213516395,0.01859358869507531,19.820797739902666,0.014147607237617892,0.05921276689817508
24,0.25,0.001,0.022108315882322035,0.01876095662140387,18.758601153338397,0.013389436940284365,0.0722013625005881
25,0.25,0.001,0.021658101680073125,0.018030062873373952,20.331529810647055,0.01451215546798505,0.05506728320486016
26,0.0,0.001,0.01780157549702517,0.01780157549702517,21.325201469555235,0.015221414325164337,0.04641618517537912
