x1,x2,label,substrate
-1.5508568,18.682335,4np,pSERS
0.336516,17.362368,4np,pSERS
1.1783869,19.95297,4np,pSERS
0.21373752,17.04748,4np,pSERS
-2.002106,19.259459,4np,pSERS
1.1295193,17.653585,4np,pSERS
-1.8024886,20.17142,4np,pSERS
1.8204291,17.131035,4np,pSERS
1.3893484,17.448816,4np,pSERS
-2.0329282,19.543192,4np,pSERS
-1.6717405,18.735367,4np,pSERS
1.2393004,16.547737,4np,pSERS
-1.1236479,20.00882,4np,pSERS
4.8798995,17.271938,4np,pSERS
0.32538816,17.834677,4np,pSERS
0.32903102,20.208004,4np,pSERS
-1.1924642,19.437029,4np,pSERS
1.727583,18.051693,4np,pSERS
0.83298546,17.01546,4np,pSERS
-1.5156053,18.208591,4np,pSERS
0.635713,19.586702,4np,pSERS
-0.20166914,16.80774,4np,pSERS
1.3999007,17.324398,4np,pSERS
-2.1917362,18.720123,4np,pSERS
-0.385452,17.34314,4np,pSERS
13.924634,-9.137971,benzenethiol,pSERS
14.408484,-8.816726,benzenethiol,pSERS
17.30744,-3.8880782,benzenethiol,pSERS
15.081585,-8.071259,benzenethiol,pSERS
16.845175,-4.460908,benzenethiol,pSERS
14.39713,-9.657356,benzenethiol,pSERS
16.538479,-4.8526087,benzenethiol,pSERS
14.0611925,-8.731018,benzenethiol,pSERS
14.262829,-9.939117,benzenethiol,pSERS
14.236506,-8.336152,benzenethiol,pSERS
14.766352,-7.8006706,benzenethiol,pSERS
14.471764,-7.899501,benzenethiol,pSERS
13.781472,-9.781582,benzenethiol,pSERS
13.761355,-10.402271,benzenethiol,pSERS
15.773553,-6.478999,benzenethiol,pSERS
14.902784,-8.453788,benzenethiol,pSERS
14.800195,-8.754922,benzenethiol,pSERS
16.210964,-5.3283873,benzenethiol,pSERS
13.744298,-9.571959,benzenethiol,pSERS
14.621505,-7.7753158,benzenethiol,pSERS
18.770819,-2.7525916,benzenethiol,pSERS
14.607221,-9.226942,benzenethiol,pSERS
15.055063,-7.9390173,benzenethiol,pSERS
16.093018,-5.708472,benzenethiol,pSERS
15.350565,-6.7702804,benzenethiol,pSERS
-26.55186,2.2519715,pyridine,pSERS
-16.149456,-6.4084525,pyridine,pSERS
-27.214096,3.108015,pyridine,pSERS
-19.950184,-3.6153152,pyridine,pSERS
-26.66481,3.3316903,pyridine,pSERS
-20.95283,-2.6821377,pyridine,pSERS
-25.759981,2.0393715,pyridine,pSERS
-24.182644,-0.2265772,pyridine,pSERS
-26.081816,2.5105245,pyridine,pSERS
-14.799783,-7.786243,pyridine,pSERS
-25.020393,0.8427952,pyridine,pSERS
-20.76117,-3.0674775,pyridine,pSERS
-18.806887,-4.242421,pyridine,pSERS
-24.61845,1.0576334,pyridine,pSERS
-16.618673,-6.825812,pyridine,pSERS
-21.697245,-1.8806794,pyridine,pSERS
-19.299534,-3.927601,pyridine,pSERS
-14.983979,-7.556037,pyridine,pSERS
-22.62883,-1.4050221,pyridine,pSERS
-15.168217,-7.195875,pyridine,pSERS
-19.470543,-4.0900292,pyridine,pSERS
-16.500044,-9.229824,pyridine,pSERS
-16.198402,-10.871781,pyridine,pSERS
-18.214336,-5.2023215,pyridine,pSERS
-18.919146,-4.7200365,pyridine,pSERS
0.9117466,34.044907,4np,PICO
2.035209,33.681404,4np,PICO
1.4909737,33.973568,4np,PICO
2.0198536,35.726837,4np,PICO
2.009655,34.83573,4np,PICO
1.3365186,33.862633,4np,PICO
1.4902116,35.08915,4np,PICO
0.9452672,35.151505,4np,PICO
2.5283284,33.26675,4np,PICO
0.59912974,33.93247,4np,PICO
3.3419268,34.31644,4np,PICO
2.7178676,35.161327,4np,PICO
3.0681345,33.263245,4np,PICO
2.3129814,33.068542,4np,PICO
1.2712345,35.2746,4np,PICO
3.1693048,33.671314,4np,PICO
3.1727977,34.70543,4np,PICO
1.6330714,34.67154,4np,PICO
1.1037102,34.771015,4np,PICO
1.846889,35.428787,4np,PICO
0.73751587,34.354355,4np,PICO
1.0494267,33.048237,4np,PICO
1.6274111,33.527378,4np,PICO
1.7635698,34.278164,4np,PICO
2.5119035,32.816536,4np,PICO
11.634586,-16.78725,benzenethiol,PICO
9.408137,-20.853228,benzenethiol,PICO
11.691117,-16.3311,benzenethiol,PICO
9.858883,-21.114315,benzenethiol,PICO
12.6947775,-13.6581,benzenethiol,PICO
10.036265,-19.768112,benzenethiol,PICO
10.654452,-18.442932,benzenethiol,PICO
10.396933,-18.910444,benzenethiol,PICO
12.710482,-13.577206,benzenethiol,PICO
9.004665,-22.310852,benzenethiol,PICO
21.973896,-1.7602077,benzenethiol,PICO
21.498035,-6.029443,benzenethiol,PICO
9.652257,-21.596405,benzenethiol,PICO
9.49605,-21.639168,benzenethiol,PICO
12.892057,-15.336737,benzenethiol,PICO
21.26379,-1.7400495,benzenethiol,PICO
9.181084,-21.294327,benzenethiol,PICO
9.058896,-22.20922,benzenethiol,PICO
21.486145,-6.048313,benzenethiol,PICO
11.813109,-16.03334,benzenethiol,PICO
19.81504,-7.7143,benzenethiol,PICO
22.704172,-3.2559347,benzenethiol,PICO
9.837387,-21.1783,benzenethiol,PICO
10.529759,-19.2807,benzenethiol,PICO
9.142251,-21.586609,benzenethiol,PICO
-27.321745,3.340073,pyridine,PICO
-16.664333,-6.067188,pyridine,PICO
-24.038744,0.20578548,pyridine,PICO
-18.613462,-4.85484,pyridine,PICO
-19.42112,-4.212238,pyridine,PICO
-26.96106,3.6741643,pyridine,PICO
-14.291532,-8.497952,pyridine,PICO
-17.702118,-5.071915,pyridine,PICO
-27.895878,4.9384193,pyridine,PICO
-17.724747,-4.9720364,pyridine,PICO
-25.757298,1.889571,pyridine,PICO
-21.795134,-2.3216655,pyridine,PICO
-18.172998,-4.567147,pyridine,PICO
-20.306454,-3.3481936,pyridine,PICO
-23.770048,-0.5994626,pyridine,PICO
-15.461535,-6.9875765,pyridine,PICO
-23.444967,-0.6396402,pyridine,PICO
-13.947211,-9.478477,pyridine,PICO
-15.481856,-7.1627703,pyridine,PICO
-26.026268,1.7684276,pyridine,PICO
-22.489664,-1.5358952,pyridine,PICO
-26.116344,1.7813773,pyridine,PICO
-24.37517,0.02466387,pyridine,PICO
-14.327433,-8.418693,pyridine,PICO
-22.017,-2.0430424,pyridine,PICO
3.8972235,14.982013,4np,AgNP
3.212482,16.205582,4np,AgNP
3.0581934,15.816458,4np,AgNP
3.9365528,15.086149,4np,AgNP
4.090267,15.189052,4np,AgNP
4.2764106,15.204123,4np,AgNP
4.0022025,18.206314,4np,AgNP
-2.6825175,19.840054,4np,AgNP
0.72713584,16.520359,4np,AgNP
1.8421899,16.638634,4np,AgNP
-2.4303207,19.520802,4np,AgNP
2.5358481,17.412989,4np,AgNP
1.0625796,19.787178,4np,AgNP
-1.8230644,19.703962,4np,AgNP
2.214735,17.072792,4np,AgNP
1.2839288,21.420736,4np,AgNP
-1.8435396,21.905594,4np,AgNP
-0.51578134,18.279726,4np,AgNP
4.084528,17.860386,4np,AgNP
4.3982635,17.76318,4np,AgNP
3.686417,17.914482,4np,AgNP
-0.9077405,19.88793,4np,AgNP
-1.7818211,22.135555,4np,AgNP
-1.9359355,21.773867,4np,AgNP
3.3207808,16.483072,4np,AgNP
-24.777094,0.5801103,pyridine,AgNP
