k,shot_unit,seed,held_out_substrate,prototype_mode,n_train_available,n_support,n_test,support_labels,support_substrates,support_counts,test_labels,accuracy,balanced_accuracy,macro_f1,true_label_macro_f1,final_loss
1,chemical_substrate,42,Ag,row_mean,200,8,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:1;4np/pSERS:1;benzenethiol/Au:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Au:1;pyridine/PICO:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.68,0.68,0.5634153339071372,0.5634153339071372,0.0
1,chemical_substrate,42,Au,row_mean,225,9,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:1;4np/PICO:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/PICO:1;pyridine/pSERS:1,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
1,chemical_substrate,42,PICO,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/Au:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.9733333333333334,0.9733333333333333,0.9730392156862745,0.9730392156862745,0.0
1,chemical_substrate,42,pSERS,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:1;4np/PICO:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/PICO:1;pyridine/Ag:1;pyridine/Au:1;pyridine/PICO:1,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.010412324219942093
1,chemical_substrate,43,Ag,row_mean,200,8,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:1;4np/pSERS:1;benzenethiol/Au:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Au:1;pyridine/PICO:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.8533333333333334,0.8533333333333334,0.854066844128956,0.854066844128956,0.0
1,chemical_substrate,43,Au,row_mean,225,9,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:1;4np/PICO:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/PICO:1;pyridine/pSERS:1,"benzenethiol,pyridine",0.84,0.8400000000000001,0.6031746031746031,0.9047619047619048,0.0
1,chemical_substrate,43,PICO,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/Au:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.9466666666666667,0.9466666666666667,0.9463231347289319,0.9463231347289319,0.0
1,chemical_substrate,43,pSERS,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:1;4np/PICO:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/PICO:1;pyridine/Ag:1;pyridine/Au:1;pyridine/PICO:1,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0006045922636985779
1,chemical_substrate,44,Ag,row_mean,200,8,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:1;4np/pSERS:1;benzenethiol/Au:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Au:1;pyridine/PICO:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.96,0.96,0.9599839935974389,0.9599839935974389,0.0
1,chemical_substrate,44,Au,row_mean,225,9,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:1;4np/PICO:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/PICO:1;pyridine/pSERS:1,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
1,chemical_substrate,44,PICO,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/Au:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.9333333333333333,0.9333333333333332,0.9326599326599326,0.9326599326599326,0.0
1,chemical_substrate,44,pSERS,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:1;4np/PICO:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/PICO:1;pyridine/Ag:1;pyridine/Au:1;pyridine/PICO:1,"4np,benzenethiol,pyridine",0.7466666666666667,0.7466666666666667,0.7039114851176563,0.7039114851176563,0.0
1,chemical_substrate,45,Ag,row_mean,200,8,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:1;4np/pSERS:1;benzenethiol/Au:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Au:1;pyridine/PICO:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.6533333333333333,0.6533333333333333,0.5422222222222222,0.5422222222222222,0.0
1,chemical_substrate,45,Au,row_mean,225,9,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:1;4np/PICO:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/PICO:1;pyridine/pSERS:1,"benzenethiol,pyridine",0.94,0.94,0.6394444444444445,0.9591666666666667,0.0
1,chemical_substrate,45,PICO,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/Au:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
1,chemical_substrate,45,pSERS,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:1;4np/PICO:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/PICO:1;pyridine/Ag:1;pyridine/Au:1;pyridine/PICO:1,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
1,chemical_substrate,46,Ag,row_mean,200,8,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:1;4np/pSERS:1;benzenethiol/Au:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Au:1;pyridine/PICO:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.88,0.8799999999999999,0.8799596393581357,0.8799596393581357,0.0
1,chemical_substrate,46,Au,row_mean,225,9,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:1;4np/PICO:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/PICO:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/PICO:1;pyridine/pSERS:1,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
1,chemical_substrate,46,PICO,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:1;4np/pSERS:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/pSERS:1;pyridine/Ag:1;pyridine/Au:1;pyridine/pSERS:1,"4np,benzenethiol,pyridine",0.92,0.9199999999999999,0.9177064765300059,0.9177064765300059,0.0
1,chemical_substrate,46,pSERS,row_mean,200,8,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:1;4np/PICO:1;benzenethiol/Ag:1;benzenethiol/Au:1;benzenethiol/PICO:1;pyridine/Ag:1;pyridine/Au:1;pyridine/PICO:1,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,42,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.8266666666666667,0.8266666666666667,0.8066028410855998,0.8066028410855998,0.0
3,chemical_substrate,42,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",0.96,0.96,0.6527777777777778,0.9791666666666667,0.0
3,chemical_substrate,42,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.6933333333333334,0.6933333333333334,0.611026551665821,0.611026551665821,0.0
3,chemical_substrate,42,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,43,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.8666666666666667,0.8666666666666667,0.8664529914529915,0.8664529914529915,0.0
3,chemical_substrate,43,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",0.0,0.0,0.0,0.0,0.20000001788139343
3,chemical_substrate,43,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.8533333333333334,0.8533333333333334,0.83996558996559,0.83996558996559,0.0
3,chemical_substrate,43,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,44,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.6133333333333333,0.6133333333333333,0.5050125313283208,0.5050125313283208,0.0
3,chemical_substrate,44,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
3,chemical_substrate,44,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.9466666666666667,0.9466666666666667,0.9463231347289319,0.9463231347289319,0.0
3,chemical_substrate,44,pSERS,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:3;4np/PICO:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/PICO:3;pyridine/Ag:3;pyridine/Au:3;pyridine/PICO:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.004105593077838421
3,chemical_substrate,45,Ag,row_mean,200,24,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:3;4np/pSERS:3;benzenethiol/Au:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Au:3;pyridine/PICO:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",0.6533333333333333,0.6533333333333333,0.5458288578589331,0.5458288578589331,0.0
3,chemical_substrate,45,Au,row_mean,225,27,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:3;4np/PICO:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/PICO:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/PICO:3;pyridine/pSERS:3,"benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
3,chemical_substrate,45,PICO,row_mean,200,24,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:3;4np/pSERS:3;benzenethiol/Ag:3;benzenethiol/Au:3;benzenethiol/pSERS:3;pyridine/Ag:3;pyridine/Au:3;pyridine/pSERS:3,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
