experiment_id,task_id,station,selection_kind,selection_outcome_model,selection_outcome_candidate,selection_count,selection_denominator,selection_fraction
EXP-C01-T1,T1-CWA,cwa,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-000,4,20,0.2
EXP-C01-T1,T1-CWA,cwa,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-001,15,20,0.75
EXP-C01-T1,T1-CWA,cwa,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-002,1,20,0.05
EXP-C01-T1,T1-PILLS,pills,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-000,18,20,0.9
EXP-C01-T1,T1-PILLS,pills,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-001,1,20,0.05
EXP-C01-T1,T1-PILLS,pills,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-002,1,20,0.05
EXP-C01-T1,T1-SURF,surfaces,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-000,7,20,0.35
EXP-C01-T1,T1-SURF,surfaces,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-001,5,20,0.25
EXP-C01-T1,T1-SURF,surfaces,standard,C-SPECTRAL-MATCH,C-SPECTRAL-MATCH-002,8,20,0.4
EXP-C02-T1,T1-CWA,cwa,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-000,3,20,0.15
EXP-C02-T1,T1-CWA,cwa,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-003,2,20,0.1
EXP-C02-T1,T1-CWA,cwa,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-004,12,20,0.6
EXP-C02-T1,T1-CWA,cwa,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-005,3,20,0.15
EXP-C02-T1,T1-PILLS,pills,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-000,11,20,0.55
EXP-C02-T1,T1-PILLS,pills,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-003,3,20,0.15
EXP-C02-T1,T1-PILLS,pills,standard,C-NEAREST-CENTROID,C-NEAREST-CENTROID-004,6,20,0.3
