domain_id,station,substrate_family,held_instrument,target_analyte,support_tier,held_recall,held_recall_lcb95,held_recall_ucb95,class_source_minus_held_recall,class_loss_lcb95,class_loss_ucb95,iut_p_value,holm_adjusted_iut_p_value,completion_state,held_masters,matched_masters,held_interval_method,class_loss_interval_method,holm_positive_claim
P13-DOM-001,cwa,GaN_polymer,Agilent-3,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-001,cwa,GaN_polymer,Agilent-3,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-001,cwa,GaN_polymer,Agilent-3,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-002,cwa,GaN_polymer,Mira-2,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-002,cwa,GaN_polymer,Mira-2,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-002,cwa,GaN_polymer,Mira-2,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-003,cwa,GaN_polymer,Pendar-2,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-003,cwa,GaN_polymer,Pendar-2,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-003,cwa,GaN_polymer,Pendar-2,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-004,cwa,GaN_polymer,RMX-1,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-004,cwa,GaN_polymer,RMX-1,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-004,cwa,GaN_polymer,RMX-1,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,4_nitrophenol,exploratory_low_support,,,,,,,,,unavailable_terminal_failure,,,,,False
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,ethanol,exploratory_low_support,,,,,,,,,unavailable_terminal_failure,,,,,False
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,ethyl_paraoxon,exploratory_low_support,,,,,,,,,unavailable_terminal_failure,,,,,False
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,4_nitrophenol,confirmatory,1,1,1,-0.125,-0.75,0,0,0,supports_portability,8,8,percentile,BCa,True
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,ethanol,confirmatory,0.555555555556,0.111111111111,0.777777777778,0.444444444444,0.111111111111,0.666666666667,0.9943,1,inferior_portability,9,9,BCa,BCa,False
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,ethyl_paraoxon,confirmatory,0.571428571429,0,0.714285714286,-0.142857142857,-0.714285714286,0.142857142857,0.6455,1,inconclusive,7,7,BCa,BCa,False
P13-DOM-007,cwa,H_SERS_H_Kit,Pendar-2,4_nitrophenol,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-007,cwa,H_SERS_H_Kit,Pendar-2,ethanol,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-007,cwa,H_SERS_H_Kit,Pendar-2,ethyl_paraoxon,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-008,cwa,H_SERS_H_Kit,Pendar-3,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-008,cwa,H_SERS_H_Kit,Pendar-3,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-008,cwa,H_SERS_H_Kit,Pendar-3,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-009,cwa,H_SERS_H_Kit,RMX-1,4_nitrophenol,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-009,cwa,H_SERS_H_Kit,RMX-1,ethanol,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-009,cwa,H_SERS_H_Kit,RMX-1,ethyl_paraoxon,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-010,cwa,NRC_Canadian_SERS,Agilent-3,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-010,cwa,NRC_Canadian_SERS,Agilent-3,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-010,cwa,NRC_Canadian_SERS,Agilent-3,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-011,cwa,NRC_Canadian_SERS,Mira-2,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-011,cwa,NRC_Canadian_SERS,Mira-2,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-011,cwa,NRC_Canadian_SERS,Mira-2,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-012,cwa,NRC_Canadian_SERS,Pendar-3,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-012,cwa,NRC_Canadian_SERS,Pendar-3,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-012,cwa,NRC_Canadian_SERS,Pendar-3,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-013,cwa,NRC_Canadian_SERS,RMX-1,4_nitrophenol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-013,cwa,NRC_Canadian_SERS,RMX-1,ethanol,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-013,cwa,NRC_Canadian_SERS,RMX-1,ethyl_paraoxon,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-014,pills,NRC_Canadian_SERS,Agilent-1,4_ANPP,exploratory_low_support,,,,,,,,,unavailable_terminal_failure,,,,,False
P13-DOM-014,pills,NRC_Canadian_SERS,Agilent-1,benzyl_fentanyl,exploratory_low_support,,,,,,,,,unavailable_terminal_failure,,,,,False
P13-DOM-014,pills,NRC_Canadian_SERS,Agilent-1,blank,exploratory_low_support,,,,,,,,,unavailable_terminal_failure,,,,,False
P13-DOM-015,pills,NRC_Canadian_SERS,Mira-3,4_ANPP,exploratory_low_support,0.2,0,0.4,0,0,0,0.9385,,inferior_portability,5,5,BCa,percentile,False
P13-DOM-015,pills,NRC_Canadian_SERS,Mira-3,benzyl_fentanyl,exploratory_low_support,0,0,0,0.75,0,1,1,,inferior_portability,4,4,percentile,BCa,False
P13-DOM-015,pills,NRC_Canadian_SERS,Mira-3,blank,exploratory_low_support,0.75,0.125,0.875,-0.166666666667,-0.833333333333,0,0.1127,,inconclusive,8,6,BCa,BCa,False
P13-DOM-016,pills,NRC_Canadian_SERS,Pendar-1,4_ANPP,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-016,pills,NRC_Canadian_SERS,Pendar-1,benzyl_fentanyl,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-016,pills,NRC_Canadian_SERS,Pendar-1,blank,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-017,pills,pSERS_Metrohm_silver,Agilent-1,4_ANPP,confirmatory,1,1,1,0,0,0,0,0,supports_portability,6,6,percentile,percentile,True
P13-DOM-017,pills,pSERS_Metrohm_silver,Agilent-1,benzyl_fentanyl,confirmatory,1,1,1,0,0,0,0,0,supports_portability,5,5,percentile,percentile,True
P13-DOM-017,pills,pSERS_Metrohm_silver,Agilent-1,blank,confirmatory,0.875,0.252495441066,1,0.125,0,0.375,0.6621,1,inconclusive,8,8,BCa,BCa,False
P13-DOM-018,pills,pSERS_Metrohm_silver,Agilent-3,4_ANPP,confirmatory,1,1,1,0,0,0,0,0,supports_portability,7,7,percentile,percentile,True
P13-DOM-018,pills,pSERS_Metrohm_silver,Agilent-3,benzyl_fentanyl,confirmatory,1,1,1,0,0,0,0,0,supports_portability,5,5,percentile,percentile,True
P13-DOM-018,pills,pSERS_Metrohm_silver,Agilent-3,blank,confirmatory,0.875,0.25,1,0.125,0,0.375,0.656,1,inconclusive,8,8,BCa,BCa,False
P13-DOM-019,pills,pSERS_Metrohm_silver,Mira-3,4_ANPP,confirmatory,0,0,0,1,1,1,1,1,inferior_portability,7,7,percentile,percentile,False
P13-DOM-019,pills,pSERS_Metrohm_silver,Mira-3,benzyl_fentanyl,confirmatory,0,0,0,1,1,1,1,1,inferior_portability,4,4,percentile,percentile,False
P13-DOM-019,pills,pSERS_Metrohm_silver,Mira-3,blank,confirmatory,1,1,1,0,0,0,0,0,supports_portability,8,8,percentile,percentile,True
P13-DOM-020,pills,pSERS_Metrohm_silver,Pendar-1,4_ANPP,confirmatory,1,1,1,0,0,0,0,0,supports_portability,7,7,percentile,percentile,True
